subject_id,Age
7095,7.88
7097,7.02
7099,7.49
7110,8.16
7111,8.49
7113,8.41
7114,8.51
7120,8.72
7123,8.44
7131,9.36
7137,9.98
7144,9.21
7277,9.85
7279,10.41
7281,10.14
7283,10.77
7285,10.18
7289,10.91
7292,10.72
7293,10.88
7299,11.88
7300,11.97
7301,11.83
7305,11.24
7306,11.54
7307,11.48
7313,11.82
7315,12.99
7317,12.25
7320,12.73
7321,12.14
7323,12.82
7327,12.72
7330,12.33
7331,12.74
7334,13.03
7336,13.09
7337,13.19
7341,13.97
7345,13.33
7346,13.35
7350,13.73
7354,14.21
7357,14.74
7370,15.54
7372,15.63
7383,15.04
7384,15.66
7385,15.56
7386,15.28
7388,16.72
7394,16.82
7395,16.62
7397,16.03
7404,16.61
7405,17.26
7411,17.43
7412,17.82
7414,17.43
7416,17.81
7419,17.68
7426,18.85
7431,18.75
7432,18.61
7433,18.53
7436,18.42
7442,19.9
7444,19.87
7446,19.06
7447,19.31
7451,19.15
7456,19.6
7457,19.53
7463,20.84
7464,20.24
7472,20.16
7475,20.18
7476,20.63
7479,21.28
7480,21.43
7484,21.55
7485,21.53
7487,21.27
7494,21.25
7496,22.92
7497,22.17
7505,22.4
7513,23.74
7514,23.82
7521,23.7
7530,23.14
7535,14.22
7541,9.16
7774,7.83
7776,8.67
7782,18.56
7785,20.13
7787,20.35
7792,22.77
7793,22.39
7798,23.66
7802,15.37
7960,14.25
7961,14.18
7962,14.85
7969,14.2
7973,16.89
7982,17.66
7987,21.3
7988,22.72
7991,23.54
7995,23.72
8091,16.27
8152,7.69
8153,9.8
8155,9.82
8161,18.87
8163,20.41
9609,7.45
9633,7.6
