"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1030","0.0-0.0","spark_pilot_2","7456","6","19","Female","[{""event"":""blur"",""trial"":1,""time"":4616},{""event"":""focus"",""trial"":1,""time"":5240},{""event"":""fullscreenenter"",""trial"":2,""time"":42062}]","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","37212","0.0-1.0","spark_pilot_2","7456","6","19","Female","[{""event"":""blur"",""trial"":1,""time"":4616},{""event"":""focus"",""trial"":1,""time"":5240},{""event"":""fullscreenenter"",""trial"":2,""time"":42062}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","43026","0.0-2.0","spark_pilot_2","7456","6","19","Female","","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","46546","0.0-3.0-0.0-0.0","spark_pilot_2","7456","6","19","Female","","","","","","","3456","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","55485","0.0-3.0-1.0-0.0","spark_pilot_2","7456","6","19","Female","","","","","","","1964.5999999940395","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","64850","0.0-3.0-1.0-0.1","spark_pilot_2","7456","6","19","Female","","","","","","","962","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","73808","0.0-3.0-1.0-0.2","spark_pilot_2","7456","6","19","Female","","","","","","","703.6999999880791","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","88015","0.0-3.0-1.0-0.3","spark_pilot_2","7456","6","19","Female","","","","","","","1054.800000011921","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","102287","0.0-3.0-1.0-0.4","spark_pilot_2","7456","6","19","Female","","","","","","","2867.800000011921","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","111160","0.0-3.0-1.0-0.5","spark_pilot_2","7456","6","19","Female","","","","","","","1042.300000011921","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","121116","0.0-3.0-1.0-0.6","spark_pilot_2","7456","6","19","Female","","","","","","","1141.2000000178814","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","130250","0.0-3.0-1.0-0.7","spark_pilot_2","7456","6","19","Female","","","","","","","2094.5999999940395","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
