"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1043","0.0-0.0","spark_pilot_2","7485","3","21","Male","[{""event"":""blur"",""trial"":1,""time"":7035},{""event"":""focus"",""trial"":1,""time"":9995},{""event"":""fullscreenenter"",""trial"":2,""time"":15535}]","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","13035","0.0-1.0","spark_pilot_2","7485","3","21","Male","[{""event"":""blur"",""trial"":1,""time"":7035},{""event"":""focus"",""trial"":1,""time"":9995},{""event"":""fullscreenenter"",""trial"":2,""time"":15535}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","16506","0.0-2.0","spark_pilot_2","7485","3","21","Male","","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","17860","0.0-3.0-0.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","1309","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","26836","0.0-3.0-1.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","1992.1000000238419","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","36267","0.0-3.0-1.0-0.1","spark_pilot_2","7485","3","21","Male","","","","","","","1022.3999999761581","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","45218","0.0-3.0-1.0-0.2","spark_pilot_2","7485","3","21","Male","","","","","","","694.2000000476837","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","60246","0.0-3.0-1.0-0.3","spark_pilot_2","7485","3","21","Male","","","","","","","1862.7000000476837","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","72592","0.0-3.0-1.0-0.4","spark_pilot_2","7485","3","21","Male","","","","","","","918.3999999761581","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","81506","0.0-3.0-1.0-0.5","spark_pilot_2","7485","3","21","Male","","","","","","","1081.7999999523163","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","92124","0.0-3.0-1.0-0.6","spark_pilot_2","7485","3","21","Male","","","","","","","1811.1999999284744","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","99971","0.0-3.0-1.0-0.7","spark_pilot_2","7485","3","21","Male","","","","","","","808.5","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","103994","0.0-3.0-2.0-0.0","spark_pilot_2","7485","3","21","Male","","","false","","","","[970.4000000953674]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","13","104506","0.0-3.0-2.0-1.0","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","108513","0.0-3.0-2.0-0.1","spark_pilot_2","7485","3","21","Male","","","false","","","","[525.1000000238419]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","109024","0.0-3.0-2.0-1.1","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","113037","0.0-3.0-2.0-0.2","spark_pilot_2","7485","3","21","Male","","","false","","","","[423.8000000715256]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","17","113547","0.0-3.0-2.0-1.2","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","119705","0.0-3.0-3.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","1463.3000000715256","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","123720","0.0-3.0-4.0-0.0","spark_pilot_2","7485","3","21","Male","","","false","","","","[940.3999999761581]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","124233","0.0-3.0-4.0-1.0","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","128246","0.0-3.0-4.0-0.1","spark_pilot_2","7485","3","21","Male","","","false","","","","[259.5]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","128761","0.0-3.0-4.0-1.1","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","132787","0.0-3.0-4.0-0.2","spark_pilot_2","7485","3","21","Male","","","false","","","","[18]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","24","133300","0.0-3.0-4.0-1.2","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","25","144924","0.0-3.0-5.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","1772.2999999523163","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","26","154676","0.0-3.0-5.0-0.1","spark_pilot_2","7485","3","21","Male","","","","","","","614.0999999046326","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","166735","0.0-3.0-5.0-0.2","spark_pilot_2","7485","3","21","Male","","","","","","","863","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","174630","0.0-3.0-5.0-0.3","spark_pilot_2","7485","3","21","Male","","","","","","","1517.8999999761581","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","29","178640","0.0-3.0-6.0-0.0","spark_pilot_2","7485","3","21","Male","","","false","","","","[714.7000000476837]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","",""
"html-keyboard-response","30","179152","0.0-3.0-6.0-1.0","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","31","183171","0.0-3.0-6.0-0.1","spark_pilot_2","7485","3","21","Male","","","false","","","","[478.5]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","32","183679","0.0-3.0-6.0-1.1","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","33","187699","0.0-3.0-6.0-0.2","spark_pilot_2","7485","3","21","Male","","","false","","","","[288.8000000715256]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","34","188213","0.0-3.0-6.0-1.2","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","35","192235","0.0-3.0-6.0-0.3","spark_pilot_2","7485","3","21","Male","","","false","","","","[362.7000000476837]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","36","192748","0.0-3.0-6.0-1.3","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","37","210382","0.0-3.0-7.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","800.6000000238419","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","38","219186","0.0-3.0-7.0-0.1","spark_pilot_2","7485","3","21","Male","","","","","","","544.7000000476837","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","39","225203","0.0-3.0-8.0-0.0","spark_pilot_2","7485","3","21","Male","","","false","","","","[875.2000000476837,405.7999999523163]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","40","225704","0.0-3.0-8.0-1.0","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","41","231722","0.0-3.0-8.0-0.1","spark_pilot_2","7485","3","21","Male","","","false","","","","[1068.5,405.2999999523163]","./assets/img/space/7.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","42","232234","0.0-3.0-8.0-1.1","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","43","238266","0.0-3.0-8.0-0.2","spark_pilot_2","7485","3","21","Male","","","false","","","","[508.2000000476837,506.7999999523163]","./assets/img/space/8.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","44","238780","0.0-3.0-8.0-1.2","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","45","244803","0.0-3.0-8.0-0.3","spark_pilot_2","7485","3","21","Male","","","false","","","","[315.7999999523163,260.3000000715256]","./assets/img/space/9.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","46","245313","0.0-3.0-8.0-1.3","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","47","251332","0.0-3.0-8.0-0.4","spark_pilot_2","7485","3","21","Male","","","false","","","","[504.10000002384186,448.3000000715256]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","48","251832","0.0-3.0-8.0-1.4","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","49","263711","0.0-3.0-9.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","1570.5","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","50","271692","0.0-3.0-9.0-0.1","spark_pilot_2","7485","3","21","Male","","","","","","","802.1999999284744","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","51","275714","0.0-3.0-10.0-0.0","spark_pilot_2","7485","3","21","Male","","","false","","","","[608.6000000238419]","./assets/img/space/catch/0.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","52","276226","0.0-3.0-10.0-1.0","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","53","280236","0.0-3.0-10.0-0.1","spark_pilot_2","7485","3","21","Male","","","false","","","","[425.6999999284744]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","54","280748","0.0-3.0-10.0-1.1","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","55","284758","0.0-3.0-10.0-0.2","spark_pilot_2","7485","3","21","Male","","","false","","","","[951.3999999761581]","./assets/img/space/catch/2.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","56","285270","0.0-3.0-10.0-1.2","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","57","300062","0.0-3.0-11.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","1191.8999999761581","<p> After you explore a place to find treasure, it will be time to play a different game. </p>
            <p> During this game, red dots will appear on the screen and fall down slowly. </p>
            <p><b> You must click on them before they reach the bottom. </b></p>
            <img src='./assets/img/instructions/dotGame.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","58","306280","0.0-3.0-11.0-0.1","spark_pilot_2","7485","3","21","Male","","","","","","","510.3000000715256","<p> For every dot you click, you will earn additional treasure. </p>
            <p> Let’s try practicing that now. </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","59","321286","0.0-3.0-12.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","[59]","","","rest practice","","10","","","","","0","15000","","","","","",""
"learning-instructions","60","327553","0.0-3.0-13.0-0.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","982.6999999284744","<p> Now, you will practice a shortened version of the game to get a sense of how it all fits together. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","61","331481","0.0-3.0-13.0-0.0-0.1","spark_pilot_2","7485","3","21","Male","","","","","","","740.3999999761581","<p>This time you are searching for treasure in outer space.</p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","62","346842","0.0-3.0-13.0-1.0-0.0","spark_pilot_2","7485","3","21","Male","","","","","","","581.8000000715256","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","63","352856","0.0-3.0-13.0-2.0-0.0","spark_pilot_2","7485","3","21","Male","","","false","","","","[1398.5,712.8999999761581]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","64","353368","0.0-3.0-13.0-2.0-1.0","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","65","359384","0.0-3.0-13.0-2.0-0.1","spark_pilot_2","7485","3","21","Male","","","false","","","","[763.5,572.1000000238419]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowLeft""]","practice block","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","66","359895","0.0-3.0-13.0-2.0-1.1","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","67","365922","0.0-3.0-13.0-2.0-0.2","spark_pilot_2","7485","3","21","Male","","","false","","","","[658.1000000238419,506.7000000476837]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","68","366433","0.0-3.0-13.0-2.0-1.2","spark_pilot_2","7485","3","21","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
