"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1611","0.0-0.0","spark_pilot_2","7515","7","23","Male","[{""event"":""blur"",""trial"":1,""time"":2441},{""event"":""focus"",""trial"":1,""time"":3468},{""event"":""focus"",""trial"":1,""time"":3468},{""event"":""fullscreenenter"",""trial"":2,""time"":13406},{""event"":""fullscreenexit"",""trial"":61,""time"":354472},{""event"":""blur"",""trial"":61,""time"":356215},{""event"":""focus"",""trial"":61,""time"":393312},{""event"":""focus"",""trial"":61,""time"":393312},{""event"":""blur"",""trial"":61,""time"":394394},{""event"":""focus"",""trial"":61,""time"":441270},{""event"":""focus"",""trial"":61,""time"":441271},{""event"":""blur"",""trial"":113,""time"":827436},{""event"":""focus"",""trial"":113,""time"":843663},{""event"":""focus"",""trial"":113,""time"":843663}]","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","7907","0.0-1.0","spark_pilot_2","7515","7","23","Male","[{""event"":""blur"",""trial"":1,""time"":2441},{""event"":""focus"",""trial"":1,""time"":3468},{""event"":""focus"",""trial"":1,""time"":3468},{""event"":""fullscreenenter"",""trial"":2,""time"":13406},{""event"":""fullscreenexit"",""trial"":61,""time"":354472},{""event"":""blur"",""trial"":61,""time"":356215},{""event"":""focus"",""trial"":61,""time"":393312},{""event"":""focus"",""trial"":61,""time"":393312},{""event"":""blur"",""trial"":61,""time"":394394},{""event"":""focus"",""trial"":61,""time"":441270},{""event"":""focus"",""trial"":61,""time"":441271},{""event"":""blur"",""trial"":113,""time"":827436},{""event"":""focus"",""trial"":113,""time"":843663},{""event"":""focus"",""trial"":113,""time"":843663}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","14360","0.0-2.0","spark_pilot_2","7515","7","23","Male","","true","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","15485","0.0-3.0","spark_pilot_2","7515","7","23","Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","17025","0.0-4.0-0.0-0.0","spark_pilot_2","7515","7","23","Male","","","","","","","","1425","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","5","25560","0.0-4.0-1.0-0.0","spark_pilot_2","7515","7","23","Male","","","","","","","","1575","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","37646","0.0-4.0-1.0-0.1","spark_pilot_2","7515","7","23","Male","","","","","","","","3692","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","48548","0.0-4.0-1.0-0.2","spark_pilot_2","7515","7","23","Male","","","","","","","","2659","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","63536","0.0-4.0-1.0-0.3","spark_pilot_2","7515","7","23","Male","","","","","","","","1858.0000000000073","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","75971","0.0-4.0-1.0-0.4","spark_pilot_2","7515","7","23","Male","","","","","","","","1037","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","86257","0.0-4.0-1.0-0.5","spark_pilot_2","7515","7","23","Male","","","","","","","","2471","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
