"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part"
"pavlovia","0","1199","0.0-0.0","spark_pilot_2","7523","4","23","Female","","","","","","","","",""
"preload","1","5588","0.0-1.0","spark_pilot_2","7523","4","23","Female","true","false","[]","[]","[]","","","",""
"fullscreen","2","8219","0.0-2.0","spark_pilot_2","7523","4","23","Female","true","","","","","","","",""
"audio-button-response","3","12245","0.0-3.0-0.0-0.0","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","4","21279","0.0-3.0-0.1-0.1","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","5","25893","0.0-3.0-0.2-0.2","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","6","29336","0.0-3.0-0.3-0.3","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","3","audio_test"
"audio-button-response","7","32229","0.0-3.0-0.4-0.4","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","8","39550","0.0-3.0-0.5-0.5","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","0","audio_test"
"audio-button-response","9","42478","0.0-3.0-0.6-0.6","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","1","audio_test"
"audio-button-response","10","44511","0.0-3.0-0.7-0.7","spark_pilot_2","7523","4","23","Female","","","","","","0","./assets/audio/audiotest/turtle.mp3","2","audio_test"
