"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part"
"pavlovia","0","1570","0.0-0.0","spark_pilot_2","7982","7","17","Female","[{""event"":""blur"",""trial"":1,""time"":16528},{""event"":""focus"",""trial"":1,""time"":20636},{""event"":""fullscreenenter"",""trial"":2,""time"":25330},{""event"":""fullscreenexit"",""trial"":10,""time"":70438},{""event"":""blur"",""trial"":10,""time"":73778},{""event"":""focus"",""trial"":10,""time"":83511},{""event"":""blur"",""trial"":10,""time"":85273},{""event"":""focus"",""trial"":10,""time"":458099},{""event"":""blur"",""trial"":13,""time"":468215},{""event"":""focus"",""trial"":13,""time"":554168},{""event"":""blur"",""trial"":13,""time"":555000},{""event"":""focus"",""trial"":13,""time"":679263},{""event"":""blur"",""trial"":13,""time"":680265},{""event"":""focus"",""trial"":13,""time"":828431},{""event"":""blur"",""trial"":15,""time"":845794}]","","","","","","","","",""
"preload","1","21841","0.0-1.0","spark_pilot_2","7982","7","17","Female","[{""event"":""blur"",""trial"":1,""time"":16528},{""event"":""focus"",""trial"":1,""time"":20636},{""event"":""fullscreenenter"",""trial"":2,""time"":25330},{""event"":""fullscreenexit"",""trial"":10,""time"":70438},{""event"":""blur"",""trial"":10,""time"":73778},{""event"":""focus"",""trial"":10,""time"":83511},{""event"":""blur"",""trial"":10,""time"":85273},{""event"":""focus"",""trial"":10,""time"":458099},{""event"":""blur"",""trial"":13,""time"":468215},{""event"":""focus"",""trial"":13,""time"":554168},{""event"":""blur"",""trial"":13,""time"":555000},{""event"":""focus"",""trial"":13,""time"":679263},{""event"":""blur"",""trial"":13,""time"":680265},{""event"":""focus"",""trial"":13,""time"":828431},{""event"":""blur"",""trial"":15,""time"":845794}]","true","false","[]","[]","[]","","","",""
"fullscreen","2","26316","0.0-2.0","spark_pilot_2","7982","7","17","Female","","true","","","","","","","",""
"audio-button-response","3","34112","0.0-3.0-0.0-0.0","spark_pilot_2","7982","7","17","Female","","","","","","","7789","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","4","41047","0.0-3.0-0.1-0.1","spark_pilot_2","7982","7","17","Female","","","","","","","5920","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","5","45135","0.0-3.0-0.2-0.2","spark_pilot_2","7982","7","17","Female","","","","","","","3080","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","6","51087","0.0-3.0-0.3-0.3","spark_pilot_2","7982","7","17","Female","","","","","","","4941","./assets/audio/audiotest/turtle.mp3","3","audio_test"
"audio-button-response","7","54043","0.0-3.0-0.4-0.4","spark_pilot_2","7982","7","17","Female","","","","","","","1952","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","8","56190","0.0-3.0-0.5-0.5","spark_pilot_2","7982","7","17","Female","","","","","","","1131","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","9","64677","0.0-3.0-0.6-0.6","spark_pilot_2","7982","7","17","Female","[{""event"":""blur"",""trial"":1,""time"":16528},{""event"":""focus"",""trial"":1,""time"":20636},{""event"":""fullscreenenter"",""trial"":2,""time"":25330},{""event"":""fullscreenexit"",""trial"":10,""time"":70438},{""event"":""blur"",""trial"":10,""time"":73778},{""event"":""focus"",""trial"":10,""time"":83511},{""event"":""blur"",""trial"":10,""time"":85273},{""event"":""focus"",""trial"":10,""time"":458099},{""event"":""blur"",""trial"":13,""time"":468215},{""event"":""focus"",""trial"":13,""time"":554168},{""event"":""blur"",""trial"":13,""time"":555000},{""event"":""focus"",""trial"":13,""time"":679263},{""event"":""blur"",""trial"":13,""time"":680265},{""event"":""focus"",""trial"":13,""time"":828431},{""event"":""blur"",""trial"":15,""time"":845794}]","","","","","","7469","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","10","459719","0.0-3.0-0.7-0.7","spark_pilot_2","7982","7","17","Female","","","","","","","352629","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","11","461684","0.0-3.0-0.8-0.8","spark_pilot_2","7982","7","17","Female","","","","","","","960","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","12","465602","0.0-3.0-0.9-0.9","spark_pilot_2","7982","7","17","Female","[{""event"":""blur"",""trial"":1,""time"":16528},{""event"":""focus"",""trial"":1,""time"":20636},{""event"":""fullscreenenter"",""trial"":2,""time"":25330},{""event"":""fullscreenexit"",""trial"":10,""time"":70438},{""event"":""blur"",""trial"":10,""time"":73778},{""event"":""focus"",""trial"":10,""time"":83511},{""event"":""blur"",""trial"":10,""time"":85273},{""event"":""focus"",""trial"":10,""time"":458099},{""event"":""blur"",""trial"":13,""time"":468215},{""event"":""focus"",""trial"":13,""time"":554168},{""event"":""blur"",""trial"":13,""time"":555000},{""event"":""focus"",""trial"":13,""time"":679263},{""event"":""blur"",""trial"":13,""time"":680265},{""event"":""focus"",""trial"":13,""time"":828431},{""event"":""blur"",""trial"":15,""time"":845794}]","","","","","","2899","./assets/audio/audiotest/turtle.mp3","4","audio_test"
"audio-button-response","13","830122","0.0-3.0-0.10-0.10","spark_pilot_2","7982","7","17","Female","","","","","","","348221","./assets/audio/audiotest/turtle.mp3","1","audio_test"
"audio-button-response","14","833002","0.0-3.0-0.11-0.11","spark_pilot_2","7982","7","17","Female","[{""event"":""blur"",""trial"":1,""time"":16528},{""event"":""focus"",""trial"":1,""time"":20636},{""event"":""fullscreenenter"",""trial"":2,""time"":25330},{""event"":""fullscreenexit"",""trial"":10,""time"":70438},{""event"":""blur"",""trial"":10,""time"":73778},{""event"":""focus"",""trial"":10,""time"":83511},{""event"":""blur"",""trial"":10,""time"":85273},{""event"":""focus"",""trial"":10,""time"":458099},{""event"":""blur"",""trial"":13,""time"":468215},{""event"":""focus"",""trial"":13,""time"":554168},{""event"":""blur"",""trial"":13,""time"":555000},{""event"":""focus"",""trial"":13,""time"":679263},{""event"":""blur"",""trial"":13,""time"":680265},{""event"":""focus"",""trial"":13,""time"":828431},{""event"":""blur"",""trial"":15,""time"":845794}]","","","","","","1880","./assets/audio/audiotest/turtle.mp3","0","audio_test"
