,subject,age,catch_correct,block1_second_half_accuracy,block2_second_half_accuracy,task_timeouts,memory_timeouts,comprehension_retries,interactions,dots_missed,parental_interference,categorical_age
0,7537,9,9,0.2857142857142857,0.7142857142857143,0.00625,0.0,1,1,0.0,False,Children
1,7527,23,10,1.0,0.9523809523809523,0.00625,0.0,3,8,0.0,False,Adults
2,8930,23,14,0.0,1.0,0.0,0.0,4,6,1.0,False,Adults
3,7119,8,8,0.0,1.0,0.0125,0.0,2,1,0.0,False,Children
4,7408,17,16,1.0,1.0,0.00625,0.0,0,22,0.0,False,Adolescents
5,7970,14,14,1.0,0.0,0.06875,0.011363636363636364,4,3,0.0,False,Adolescents
6,7533,12,15,0.42857142857142855,0.5238095238095238,0.01875,0.0,2,3,0.0,False,Children
7,7121,8,8,0.047619047619047616,0.9523809523809523,0.06875,0.0,2,5,0.0,False,Children
8,7318,12,8,1.0,1.0,0.00625,0.0,1,1,0.0,False,Children
9,8929,7,12,0.14285714285714285,0.9047619047619048,0.06875,0.0,0,3,0.0,False,Children
10,7468,20,16,0.8571428571428571,0.7142857142857143,0.0125,0.0,1,1,0.0,False,Adults
11,7320,12,12,0.9523809523809523,1.0,0.00625,0.0,1,7,0.0,True,Children
12,7102,7,0,0.8571428571428571,0.8095238095238095,0.1125,0.022727272727272728,2,3,0.0,False,Children
13,7390,16,10,0.8095238095238095,0.9523809523809523,0.0125,0.0,1,1,0.0,False,Adolescents
14,7129,9,11,0.6666666666666666,0.0,0.05625,0.0,3,5,0.0,False,Children
15,7316,12,14,0.6666666666666666,0.3333333333333333,0.05,0.0,2,1,0.0,False,Children
16,7310,11,9,1.0,1.0,0.03125,0.0,4,1,0.0,False,Children
17,7141,9,8,1.0,1.0,0.0125,0.0,1,4,0.0,False,Children
18,7348,13,16,0.2857142857142857,0.09523809523809523,0.025,0.0,2,1,0.0,False,Children
19,7420,17,14,1.0,1.0,0.0125,0.0,0,32,0.0,False,Adolescents
20,7791,22,15,0.0,1.0,0.0,0.0,2,1,2.0,False,Adults
21,7098,7,11,0.2857142857142857,0.38095238095238093,0.04375,0.0,2,1,0.0,False,Children
22,7953,7,9,0.09523809523809523,0.47619047619047616,0.05,0.011363636363636364,4,5,1.0,False,Children
23,7332,12,13,1.0,0.0,0.00625,0.0,3,1,0.0,False,Children
24,7515,23,6,0.38095238095238093,0.0,0.2375,0.0,5,14,0.0,False,Adults
25,7401,16,10,0.38095238095238093,1.0,0.00625,0.0,4,1,0.0,False,Adolescents
26,7324,12,10,0.5238095238095238,0.2857142857142857,0.025,0.0,0,3,0.0,False,Children
27,7580,21,5,0.047619047619047616,0.3333333333333333,0.2125,0.0,4,1,0.0,False,Adults
28,7358,14,13,0.3333333333333333,0.8571428571428571,0.01875,0.0,2,1,0.0,False,Adolescents
29,7398,16,16,0.9523809523809523,0.0,0.00625,0.0,3,1,0.0,False,Adolescents
30,7349,13,13,0.3333333333333333,0.7619047619047619,0.0875,0.0,3,3,1.0,False,Children
31,7511,22,13,0.3333333333333333,1.0,0.0,0.0,1,1,0.0,False,Adults
32,7425,18,1,0.2857142857142857,0.14285714285714285,0.06875,0.0,5,14,0.0,False,Adolescents
33,9134,23,11,0.38095238095238093,0.0,0.075,0.0,4,1,0.0,False,Adults
34,9133,7,10,0.7619047619047619,0.8095238095238095,0.04375,0.0,4,1,1.0,False,Children
35,7142,9,15,0.6666666666666666,0.38095238095238093,0.01875,0.0,1,1,0.0,False,Children
36,7138,9,12,0.0,1.0,0.04375,0.0,1,1,0.0,False,Children
