,index,subject_id,task_part,rt,timeout,stimulus,environment,score,isCatch,correct,block_condition,block_order,rewardMap,trial_num,ground_truth,age,subject_condition,rest,response0,response1,is_optimal_first,is_optimal_second,categorical_age,trial_bin
0,116,7787,value training,"[1087.3000000715256,387.5]",False,./assets/img/canyon/memory/22.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",1,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,0
1,118,7787,value training,"[375.2000000476837,367.7999999523163]",False,./assets/img/canyon/memory/9.jpg,canyon,10.0,False,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",2,,20.35,8,rest,ArrowUp,ArrowRight,True,True,Adults,0
3,122,7787,value training,"[600.7000000476837,472.7999999523163]",False,./assets/img/canyon/memory/5.jpg,canyon,5.0,False,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",3,,20.35,8,rest,ArrowDown,ArrowLeft,False,False,Adults,0
4,124,7787,value training,"[376.7999999523163,555.7999999523163]",False,./assets/img/canyon/memory/41.jpg,canyon,17.0,False,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",4,,20.35,8,rest,ArrowDown,ArrowRight,False,False,Adults,0
5,126,7787,value training,"[458.60000002384186,297.7999999523163]",False,./assets/img/canyon/memory/34.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",5,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,0
6,128,7787,value training,"[420.7999999523163,601.6000000238419]",False,./assets/img/canyon/memory/20.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",6,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,5
7,130,7787,value training,"[403.89999997615814,481.7999999523163]",False,./assets/img/canyon/memory/34.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",7,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,5
8,132,7787,value training,"[457.39999997615814,347.60000002384186]",False,./assets/img/canyon/memory/8.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",8,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,5
9,134,7787,value training,"[405.7000000476837,362.7000000476837]",False,./assets/img/canyon/memory/1.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",9,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,5
10,136,7787,value training,"[456.7999999523163,351.39999997615814]",False,./assets/img/canyon/memory/36.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",10,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,5
11,138,7787,value training,"[438.8000000715256,310.10000002384186]",False,./assets/img/canyon/memory/14.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",11,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,10
12,140,7787,value training,"[595.2999999523163,349]",False,./assets/img/canyon/memory/41.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",12,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,10
13,142,7787,value training,"[413,293.2000000476837]",False,./assets/img/canyon/memory/4.jpg,canyon,26.0,False,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",13,,20.35,8,rest,ArrowUp,ArrowLeft,True,True,Adults,10
