,index,subject_id,task_part,rt,timeout,stimulus,environment,score,isCatch,correct,rewardMap,trial_num,ground_truth,age,subject_condition,rest,response0,response1,is_optimal_first,is_optimal_second,categorical_age,block_order,block_condition
0,471,7787,memory,1891,False,./assets/img/ocean/memory/3.jpg,ocean,10.0,,True,,4,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
1,473,7787,memory,1935,False,./assets/img/canyon/memory/3.jpg,canyon,10.0,,True,,5,new,20.35,8,rest,definitely_new,,,,Adults,1.0,Revaluation
2,475,7787,memory,1502,False,./assets/img/ocean/memory/4.jpg,ocean,10.0,,True,,6,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
3,477,7787,memory,2086,False,./assets/img/canyon/memory/7.jpg,canyon,10.0,,True,,7,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
4,479,7787,memory,1563,False,./assets/img/canyon/memory/11.jpg,canyon,10.0,,True,,8,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
5,481,7787,memory,915,False,./assets/img/canyon/memory/29.jpg,canyon,10.0,,True,,9,new,20.35,8,rest,definitely_new,,,,Adults,1.0,Revaluation
6,483,7787,memory,870,False,./assets/img/ocean/memory/32.jpg,ocean,10.0,,True,,10,new,20.35,8,rest,definitely_new,,,,Adults,2.0,Control
7,485,7787,memory,1230,False,./assets/img/ocean/memory/29.jpg,ocean,0.0,,False,,11,old,20.35,8,rest,definitely_new,,,,Adults,2.0,Control
8,487,7787,memory,1138,False,./assets/img/ocean/memory/17.jpg,ocean,10.0,,True,,12,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
9,489,7787,memory,1500,False,./assets/img/ocean/memory/33.jpg,ocean,0.0,,False,,13,old,20.35,8,rest,definitely_new,,,,Adults,2.0,Control
10,491,7787,memory,2078,False,./assets/img/ocean/memory/14.jpg,ocean,0.0,,False,,14,new,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
11,493,7787,memory,2265,False,./assets/img/ocean/memory/24.jpg,ocean,10.0,,True,,15,new,20.35,8,rest,maybe_new,,,,Adults,2.0,Control
12,495,7787,memory,1937,False,./assets/img/ocean/memory/37.jpg,ocean,0.0,,False,,16,new,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
13,497,7787,memory,1406,False,./assets/img/canyon/memory/15.jpg,canyon,0.0,,False,,17,new,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
14,499,7787,memory,1114,False,./assets/img/ocean/memory/38.jpg,ocean,0.0,,False,,18,new,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
15,501,7787,memory,1063,False,./assets/img/ocean/memory/23.jpg,ocean,10.0,,True,,19,old,20.35,8,rest,maybe_old,,,,Adults,2.0,Control
16,503,7787,memory,1155,False,./assets/img/canyon/memory/5.jpg,canyon,10.0,,True,,20,old,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
17,505,7787,memory,1182,False,./assets/img/canyon/memory/26.jpg,canyon,10.0,,True,,21,old,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
18,507,7787,memory,925,False,./assets/img/canyon/memory/17.jpg,canyon,10.0,,True,,22,old,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
19,509,7787,memory,1066,False,./assets/img/ocean/memory/2.jpg,ocean,0.0,,False,,23,new,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
20,511,7787,memory,838,False,./assets/img/ocean/memory/8.jpg,ocean,0.0,,False,,24,new,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
21,513,7787,memory,1374,False,./assets/img/canyon/memory/39.jpg,canyon,0.0,,False,,25,new,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
22,515,7787,memory,790,False,./assets/img/canyon/memory/20.jpg,canyon,10.0,,True,,26,old,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
23,517,7787,memory,1063,False,./assets/img/ocean/memory/26.jpg,ocean,10.0,,True,,27,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
24,519,7787,memory,1061,False,./assets/img/canyon/memory/8.jpg,canyon,0.0,,False,,28,old,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
25,521,7787,memory,1119,False,./assets/img/ocean/memory/30.jpg,ocean,10.0,,True,,29,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
26,523,7787,memory,1322,False,./assets/img/canyon/memory/19.jpg,canyon,10.0,,True,,30,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
27,525,7787,memory,1410,False,./assets/img/canyon/memory/18.jpg,canyon,10.0,,True,,31,old,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
28,527,7787,memory,1154,False,./assets/img/ocean/memory/11.jpg,ocean,10.0,,True,,32,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
29,529,7787,memory,925,False,./assets/img/canyon/memory/28.jpg,canyon,10.0,,True,,33,old,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
30,531,7787,memory,1087,False,./assets/img/canyon/memory/6.jpg,canyon,0.0,,False,,34,old,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
31,533,7787,memory,1143,False,./assets/img/canyon/memory/37.jpg,canyon,0.0,,False,,35,new,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
32,535,7787,memory,1355,False,./assets/img/ocean/memory/6.jpg,ocean,10.0,,True,,36,new,20.35,8,rest,maybe_new,,,,Adults,2.0,Control
33,537,7787,memory,1145,False,./assets/img/canyon/memory/31.jpg,canyon,0.0,,False,,37,new,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
34,539,7787,memory,844,False,./assets/img/ocean/memory/22.jpg,ocean,0.0,,False,,38,new,20.35,8,rest,maybe_old,,,,Adults,2.0,Control
35,541,7787,memory,748,False,./assets/img/canyon/memory/13.jpg,canyon,0.0,,False,,39,new,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
36,543,7787,memory,1072,False,./assets/img/canyon/memory/35.jpg,canyon,10.0,,True,,40,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
37,545,7787,memory,1208,False,./assets/img/ocean/memory/16.jpg,ocean,0.0,,False,,41,new,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
38,547,7787,memory,1456,False,./assets/img/canyon/memory/1.jpg,canyon,10.0,,True,,42,old,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
39,549,7787,memory,1479,False,./assets/img/canyon/memory/27.jpg,canyon,10.0,,True,,43,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
40,551,7787,memory,1420,False,./assets/img/canyon/memory/10.jpg,canyon,10.0,,True,,44,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
41,553,7787,memory,1193,False,./assets/img/canyon/memory/4.jpg,canyon,10.0,,True,,45,old,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
42,555,7787,memory,726,False,./assets/img/canyon/memory/12.jpg,canyon,10.0,,True,,46,old,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
43,557,7787,memory,1049,False,./assets/img/canyon/memory/0.jpg,canyon,0.0,,False,,47,new,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
44,559,7787,memory,1059,False,./assets/img/ocean/memory/35.jpg,ocean,10.0,,True,,48,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
45,561,7787,memory,1518,False,./assets/img/ocean/memory/40.jpg,ocean,10.0,,True,,49,old,20.35,8,rest,maybe_old,,,,Adults,2.0,Control
46,563,7787,memory,940,False,./assets/img/canyon/memory/40.jpg,canyon,10.0,,True,,50,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
47,565,7787,memory,1124,False,./assets/img/canyon/memory/16.jpg,canyon,10.0,,True,,51,old,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
48,567,7787,memory,990,False,./assets/img/canyon/memory/34.jpg,canyon,10.0,,True,,52,old,20.35,8,rest,definitely_old,,,,Adults,1.0,Revaluation
49,569,7787,memory,1485,False,./assets/img/ocean/memory/12.jpg,ocean,0.0,,False,,53,old,20.35,8,rest,maybe_new,,,,Adults,2.0,Control
50,571,7787,memory,1018,False,./assets/img/canyon/memory/25.jpg,canyon,10.0,,True,,54,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
51,573,7787,memory,1037,False,./assets/img/canyon/memory/36.jpg,canyon,10.0,,True,,55,old,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
52,575,7787,memory,804,False,./assets/img/ocean/memory/36.jpg,ocean,10.0,,True,,56,old,20.35,8,rest,maybe_old,,,,Adults,2.0,Control
53,577,7787,memory,1028,False,./assets/img/canyon/memory/2.jpg,canyon,0.0,,False,,57,new,20.35,8,rest,maybe_old,,,,Adults,1.0,Revaluation
54,579,7787,memory,1040,False,./assets/img/ocean/memory/20.jpg,ocean,10.0,,True,,58,old,20.35,8,rest,definitely_old,,,,Adults,2.0,Control
55,581,7787,memory,1100,False,./assets/img/canyon/memory/32.jpg,canyon,10.0,,True,,59,new,20.35,8,rest,maybe_new,,,,Adults,1.0,Revaluation
