,index,subject_id,task_part,rt,timeout,stimulus,environment,score,isCatch,correct,block_condition,block_order,rewardMap,trial_num,ground_truth,age,subject_condition,rest,response0,response1,is_optimal_first,is_optimal_second,categorical_age,trial
50,217,7787,revaluation,[953.1000000238419],False,./assets/img/canyon/animals/giraffe.jpg,canyon,8.0,,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",0,,20.35,8,rest,ArrowLeft,,,,Adults,0
51,219,7787,revaluation,[576.7000000476837],False,./assets/img/canyon/animals/giraffe.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",1,,20.35,8,rest,ArrowRight,,,,Adults,1
52,221,7787,revaluation,[701.2999999523163],False,./assets/img/canyon/animals/lion.jpg,canyon,2.0,,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",2,,20.35,8,rest,ArrowLeft,,,,Adults,0
53,223,7787,revaluation,[484.39999997615814],False,./assets/img/canyon/animals/lion.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",3,,20.35,8,rest,ArrowRight,,,,Adults,1
54,225,7787,revaluation,[605.8999999761581],False,./assets/img/canyon/animals/lion.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",4,,20.35,8,rest,ArrowRight,,,,Adults,2
55,227,7787,revaluation,[433],False,./assets/img/canyon/animals/giraffe.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",5,,20.35,8,rest,ArrowRight,,,,Adults,2
56,229,7787,revaluation,[489.2000000476837],False,./assets/img/canyon/animals/giraffe.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",6,,20.35,8,rest,ArrowRight,,,,Adults,3
57,231,7787,revaluation,[430.1999999284744],False,./assets/img/canyon/animals/lion.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",7,,20.35,8,rest,ArrowRight,,,,Adults,3
58,233,7787,revaluation,[515.5],False,./assets/img/canyon/animals/lion.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",8,,20.35,8,rest,ArrowRight,,,,Adults,4
59,235,7787,revaluation,[419.7999999523163],False,./assets/img/canyon/animals/giraffe.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",9,,20.35,8,rest,ArrowRight,,,,Adults,4
