"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","889","0.0-0.0","spark_pilot_norest","12605","5","17","Male","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","14166","0.0-1.0","spark_pilot_norest","12605","5","17","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":16562}]","","","","","","","","","","","","","","","",""
"fullscreen","2","17549","0.0-2.0","spark_pilot_norest","12605","5","17","Male","true","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","19176","0.0-3.0-0.0-0.0","spark_pilot_norest","12605","5","17","Male","","","","","","","1520","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","28654","0.0-3.0-1.0-0.0","spark_pilot_norest","12605","5","17","Male","","","","","","","1837.5","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","40967","0.0-3.0-1.0-0.1","spark_pilot_norest","12605","5","17","Male","","","","","","","3080.800000011921","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","50926","0.0-3.0-1.0-0.2","spark_pilot_norest","12605","5","17","Male","","","","","","","1040.2999999821186","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","66069","0.0-3.0-1.0-0.3","spark_pilot_norest","12605","5","17","Male","","","","","","","943.3000000119209","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","79290","0.0-3.0-1.0-0.4","spark_pilot_norest","12605","5","17","Male","","","","","","","564.4000000059605","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","89115","0.0-3.0-1.0-0.5","spark_pilot_norest","12605","5","17","Male","","","","","","","1148.4000000059605","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","102257","0.0-3.0-1.0-0.6","spark_pilot_norest","12605","5","17","Male","","","","","","","3370.5999999940395","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","110964","0.0-3.0-1.0-0.7","spark_pilot_norest","12605","5","17","Male","","","","","","","927.5999999940395","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","12","114987","0.0-3.0-2.0-0.0","spark_pilot_norest","12605","5","17","Male","","false","","","","","[546.2000000178814]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
