"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch"
"pavlovia","0","1417","0.0-0.0","spark_pilot_norest","8195","8","16","Female","[{""event"":""blur"",""trial"":1,""time"":13692},{""event"":""focus"",""trial"":2,""time"":78093},{""event"":""fullscreenenter"",""trial"":2,""time"":78236},{""event"":""blur"",""trial"":4,""time"":87969},{""event"":""fullscreenexit"",""trial"":4,""time"":87969},{""event"":""focus"",""trial"":4,""time"":87971},{""event"":""blur"",""trial"":4,""time"":154474},{""event"":""focus"",""trial"":4,""time"":377408},{""event"":""blur"",""trial"":4,""time"":377410},{""event"":""focus"",""trial"":4,""time"":528011},{""event"":""blur"",""trial"":7,""time"":574524},{""event"":""focus"",""trial"":7,""time"":590270},{""event"":""blur"",""trial"":59,""time"":836338},{""event"":""focus"",""trial"":59,""time"":6456847},{""event"":""blur"",""trial"":59,""time"":6456850},{""event"":""focus"",""trial"":59,""time"":331470794},{""event"":""blur"",""trial"":59,""time"":331473430},{""event"":""focus"",""trial"":59,""time"":331473431}]","","","","","","","","","","","","","","",""
"preload","1","30707","0.0-1.0","spark_pilot_norest","8195","8","16","Female","[{""event"":""blur"",""trial"":1,""time"":13692},{""event"":""focus"",""trial"":2,""time"":78093},{""event"":""fullscreenenter"",""trial"":2,""time"":78236},{""event"":""blur"",""trial"":4,""time"":87969},{""event"":""fullscreenexit"",""trial"":4,""time"":87969},{""event"":""focus"",""trial"":4,""time"":87971},{""event"":""blur"",""trial"":4,""time"":154474},{""event"":""focus"",""trial"":4,""time"":377408},{""event"":""blur"",""trial"":4,""time"":377410},{""event"":""focus"",""trial"":4,""time"":528011},{""event"":""blur"",""trial"":7,""time"":574524},{""event"":""focus"",""trial"":7,""time"":590270},{""event"":""blur"",""trial"":59,""time"":836338},{""event"":""focus"",""trial"":59,""time"":6456847},{""event"":""blur"",""trial"":59,""time"":6456850},{""event"":""focus"",""trial"":59,""time"":331470794},{""event"":""blur"",""trial"":59,""time"":331473430},{""event"":""focus"",""trial"":59,""time"":331473431}]","true","false","[]","[]","[]","","","","","","","","","",""
"fullscreen","2","79214","0.0-2.0","spark_pilot_norest","8195","8","16","Female","","true","","","","","","","","","","","","","",""
"audio-button-response","3","80694","0.0-3.0-0.0-0.0","spark_pilot_norest","8195","8","16","Female","[{""event"":""blur"",""trial"":1,""time"":13692},{""event"":""focus"",""trial"":2,""time"":78093},{""event"":""fullscreenenter"",""trial"":2,""time"":78236},{""event"":""blur"",""trial"":4,""time"":87969},{""event"":""fullscreenexit"",""trial"":4,""time"":87969},{""event"":""focus"",""trial"":4,""time"":87971},{""event"":""blur"",""trial"":4,""time"":154474},{""event"":""focus"",""trial"":4,""time"":377408},{""event"":""blur"",""trial"":4,""time"":377410},{""event"":""focus"",""trial"":4,""time"":528011},{""event"":""blur"",""trial"":7,""time"":574524},{""event"":""focus"",""trial"":7,""time"":590270},{""event"":""blur"",""trial"":59,""time"":836338},{""event"":""focus"",""trial"":59,""time"":6456847},{""event"":""blur"",""trial"":59,""time"":6456850},{""event"":""focus"",""trial"":59,""time"":331470794},{""event"":""blur"",""trial"":59,""time"":331473430},{""event"":""focus"",""trial"":59,""time"":331473431}]","","","","","","1411","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","",""
"learning-instructions","4","542124","0.0-3.0-1.0-0.0","spark_pilot_norest","8195","8","16","Female","","","","","","","454150.09999999404","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","",""
"learning-instructions","5","551811","0.0-3.0-1.0-0.1","spark_pilot_norest","8195","8","16","Female","","","","","","","1152.5","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","6","561043","0.0-3.0-1.0-0.2","spark_pilot_norest","8195","8","16","Female","[{""event"":""blur"",""trial"":1,""time"":13692},{""event"":""focus"",""trial"":2,""time"":78093},{""event"":""fullscreenenter"",""trial"":2,""time"":78236},{""event"":""blur"",""trial"":4,""time"":87969},{""event"":""fullscreenexit"",""trial"":4,""time"":87969},{""event"":""focus"",""trial"":4,""time"":87971},{""event"":""blur"",""trial"":4,""time"":154474},{""event"":""focus"",""trial"":4,""time"":377408},{""event"":""blur"",""trial"":4,""time"":377410},{""event"":""focus"",""trial"":4,""time"":528011},{""event"":""blur"",""trial"":7,""time"":574524},{""event"":""focus"",""trial"":7,""time"":590270},{""event"":""blur"",""trial"":59,""time"":836338},{""event"":""focus"",""trial"":59,""time"":6456847},{""event"":""blur"",""trial"":59,""time"":6456850},{""event"":""focus"",""trial"":59,""time"":331470794},{""event"":""blur"",""trial"":59,""time"":331473430},{""event"":""focus"",""trial"":59,""time"":331473431}]","","","","","","954.7999999970198","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","7","591209","0.0-3.0-1.0-0.3","spark_pilot_norest","8195","8","16","Female","","","","","","","16989.5","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","8","603567","0.0-3.0-1.0-0.4","spark_pilot_norest","8195","8","16","Female","","","","","","","916.9000000059605","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","9","613322","0.0-3.0-1.0-0.5","spark_pilot_norest","8195","8","16","Female","","","","","","","1909.2999999970198","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","",""
