"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","20087","0.0-0.0","spark_pilot_norest","8335","8","14","Male","[{""event"":""focus"",""trial"":0,""time"":10},{""event"":""blur"",""trial"":0,""time"":4414},{""event"":""focus"",""trial"":1,""time"":26543},{""event"":""blur"",""trial"":1,""time"":29994},{""event"":""focus"",""trial"":1,""time"":48388},{""event"":""blur"",""trial"":1,""time"":55409},{""event"":""focus"",""trial"":1,""time"":59474},{""event"":""fullscreenenter"",""trial"":2,""time"":73024}]","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","71121","0.0-1.0","spark_pilot_norest","8335","8","14","Male","[{""event"":""focus"",""trial"":0,""time"":10},{""event"":""blur"",""trial"":0,""time"":4414},{""event"":""focus"",""trial"":1,""time"":26543},{""event"":""blur"",""trial"":1,""time"":29994},{""event"":""focus"",""trial"":1,""time"":48388},{""event"":""blur"",""trial"":1,""time"":55409},{""event"":""focus"",""trial"":1,""time"":59474},{""event"":""fullscreenenter"",""trial"":2,""time"":73024}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","",""
"fullscreen","2","73957","0.0-2.0","spark_pilot_norest","8335","8","14","Male","","true","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","75018","0.0-3.0","spark_pilot_norest","8335","8","14","Male","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","76371","0.0-4.0-0.0-0.0","spark_pilot_norest","8335","8","14","Male","","","","","","","","1338","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","5","84450","0.0-4.0-1.0-0.0","spark_pilot_norest","8335","8","14","Male","","","","","","","","1116","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","93589","0.0-4.0-1.0-0.1","spark_pilot_norest","8335","8","14","Male","","","","","","","","745","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","102314","0.0-4.0-1.0-0.2","spark_pilot_norest","8335","8","14","Male","","","","","","","","484","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","115970","0.0-4.0-1.0-0.3","spark_pilot_norest","8335","8","14","Male","","","","","","","","520.9999999999854","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","130476","0.0-4.0-1.0-0.4","spark_pilot_norest","8335","8","14","Male","","","","","","","","1637","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","139472","0.0-4.0-1.0-0.5","spark_pilot_norest","8335","8","14","Male","","","","","","","","1183","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","148954","0.0-4.0-1.0-0.6","spark_pilot_norest","8335","8","14","Male","","","","","","","","685","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","12","156844","0.0-4.0-1.0-0.7","spark_pilot_norest","8335","8","14","Male","","","","","","","","865","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","13","160859","0.0-4.0-2.0-0.0","spark_pilot_norest","8335","8","14","Male","","","false","","","","","[417.9999999999709]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","14","161361","0.0-4.0-2.0-1.0","spark_pilot_norest","8335","8","14","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","15","165364","0.0-4.0-2.0-0.1","spark_pilot_norest","8335","8","14","Male","","","false","","","","","[1498]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","16","165866","0.0-4.0-2.0-1.1","spark_pilot_norest","8335","8","14","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","17","169871","0.0-4.0-2.0-0.2","spark_pilot_norest","8335","8","14","Male","","","false","","","","","[811.9999999999709]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","18","170373","0.0-4.0-2.0-1.2","spark_pilot_norest","8335","8","14","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","19","176816","0.0-4.0-3.0-0.0","spark_pilot_norest","8335","8","14","Male","","","","","","","","1755","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","20","180819","0.0-4.0-4.0-0.0","spark_pilot_norest","8335","8","14","Male","","","false","","","","","[565]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","21","181322","0.0-4.0-4.0-1.0","spark_pilot_norest","8335","8","14","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","22","185325","0.0-4.0-4.0-0.1","spark_pilot_norest","8335","8","14","Male","","","false","","","","","[618]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","23","185827","0.0-4.0-4.0-1.1","spark_pilot_norest","8335","8","14","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","24","189831","0.0-4.0-4.0-0.2","spark_pilot_norest","8335","8","14","Male","","","false","","","","","[800]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","25","190332","0.0-4.0-4.0-1.2","spark_pilot_norest","8335","8","14","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","26","201789","0.0-4.0-5.0-0.0","spark_pilot_norest","8335","8","14","Male","","","","","","","","1620","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","27","211452","0.0-4.0-5.0-0.1","spark_pilot_norest","8335","8","14","Male","","","","","","","","545.9999999999709","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","",""
"learning-instructions","28","223155","0.0-4.0-5.0-0.2","spark_pilot_norest","8335","8","14","Male","","","","","","","","527","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","29","230244","0.0-4.0-5.0-0.3","spark_pilot_norest","8335","8","14","Male","","","","","","","","738","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
