"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1448","0.0-0.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","31153","0.0-1.0","spark_pilot_norest","8647","3","15","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":34700},{""event"":""blur"",""trial"":171,""time"":938729},{""event"":""focus"",""trial"":173,""time"":941436},{""event"":""blur"",""trial"":471,""time"":1887662},{""event"":""focus"",""trial"":471,""time"":1916142}]","","","","","","","","","","","","","","","","",""
"fullscreen","2","35658","0.0-2.0","spark_pilot_norest","8647","3","15","Female","true","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","46052","0.0-3.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","48939","0.0-4.0-0.0-0.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","2597","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","5","50655","0.0-4.0-0.1-0.1","spark_pilot_norest","8647","3","15","Female","","","","","","","","715","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","6","61405","0.0-4.0-1.0-0.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","2865","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","70889","0.0-4.0-1.0-0.1","spark_pilot_norest","8647","3","15","Female","","","","","","","","1100","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","79822","0.0-4.0-1.0-0.2","spark_pilot_norest","8647","3","15","Female","","","","","","","","700.0000000000146","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","95687","0.0-4.0-1.0-0.3","spark_pilot_norest","8647","3","15","Female","","","","","","","","2748.0000000000146","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","110024","0.0-4.0-1.0-0.4","spark_pilot_norest","8647","3","15","Female","","","","","","","","2949","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","120138","0.0-4.0-1.0-0.5","spark_pilot_norest","8647","3","15","Female","","","","","","","","2311.9999999999854","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","12","145571","0.0-4.0-1.0-0.6","spark_pilot_norest","8647","3","15","Female","","","","","","","","16649","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","13","159955","0.0-4.0-1.0-0.7","spark_pilot_norest","8647","3","15","Female","","","","","","","","7370","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","14","163966","0.0-4.0-2.0-0.0","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[884]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","15","164467","0.0-4.0-2.0-1.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","16","168470","0.0-4.0-2.0-0.1","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[1257]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","17","168971","0.0-4.0-2.0-1.1","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","18","172974","0.0-4.0-2.0-0.2","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[1505]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","19","173475","0.0-4.0-2.0-1.2","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","20","179137","0.0-4.0-3.0-0.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","981","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","21","183141","0.0-4.0-4.0-0.0","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[881]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","22","183642","0.0-4.0-4.0-1.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","23","187645","0.0-4.0-4.0-0.1","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[577]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","24","188146","0.0-4.0-4.0-1.1","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","25","192149","0.0-4.0-4.0-0.2","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[431.9999999999709]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","26","192649","0.0-4.0-4.0-1.2","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","27","239406","0.0-4.0-5.0-0.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","36933","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","28","250321","0.0-4.0-5.0-0.1","spark_pilot_norest","8647","3","15","Female","","","","","","","","1810.999999999971","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","",""
"learning-instructions","29","262987","0.0-4.0-5.0-0.2","spark_pilot_norest","8647","3","15","Female","","","","","","","","1508","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","30","270387","0.0-4.0-5.0-0.3","spark_pilot_norest","8647","3","15","Female","","","","","","","","1055.0000000000582","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","31","274391","0.0-4.0-6.0-0.0","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[877]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","",""
"html-keyboard-response","32","274892","0.0-4.0-6.0-1.0","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","33","278894","0.0-4.0-6.0-0.1","spark_pilot_norest","8647","3","15","Female","","false","","","","","","[498]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","",""
"html-keyboard-response","34","279395","0.0-4.0-6.0-1.1","spark_pilot_norest","8647","3","15","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
