"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1308","0.0-0.0","spark_pilot_norest","9154","4","14","Female","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","12187","0.0-1.0","spark_pilot_norest","9154","4","14","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":83438},{""event"":""blur"",""trial"":321,""time"":1354855},{""event"":""focus"",""trial"":321,""time"":1357433},{""event"":""blur"",""trial"":323,""time"":1360264},{""event"":""focus"",""trial"":323,""time"":1361298}]","","","","","","","","","","","","","","","","",""
"fullscreen","2","84160","0.0-2.0","spark_pilot_norest","9154","4","14","Female","true","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","86762","0.0-3.0","spark_pilot_norest","9154","4","14","Female","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","93542","0.0-4.0-0.0-0.0","spark_pilot_norest","9154","4","14","Female","","","","","","","","6536","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","5","98683","0.0-4.0-0.1-0.1","spark_pilot_norest","9154","4","14","Female","","","","","","","","4139","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","6","101687","0.0-4.0-0.2-0.2","spark_pilot_norest","9154","4","14","Female","","","","","","","","2003","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","7","106040","0.0-4.0-0.3-0.3","spark_pilot_norest","9154","4","14","Female","","","","","","","","3019","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","8","108707","0.0-4.0-0.4-0.4","spark_pilot_norest","9154","4","14","Female","","","","","","","","1666","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","9","119811","0.0-4.0-1.0-0.0","spark_pilot_norest","9154","4","14","Female","","","","","","","","4146","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","133120","0.0-4.0-1.0-0.1","spark_pilot_norest","9154","4","14","Female","","","","","","","","4916","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","147340","0.0-4.0-1.0-0.2","spark_pilot_norest","9154","4","14","Female","","","","","","","","5979.999999999971","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","12","173812","0.0-4.0-1.0-0.3","spark_pilot_norest","9154","4","14","Female","","","","","","","","12454","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","13","188212","0.0-4.0-1.0-0.4","spark_pilot_norest","9154","4","14","Female","","","","","","","","3001","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","14","199463","0.0-4.0-1.0-0.5","spark_pilot_norest","9154","4","14","Female","","","","","","","","3443","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","15","254004","0.0-4.0-1.0-0.6","spark_pilot_norest","9154","4","14","Female","","","","","","","","45753","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","16","264051","0.0-4.0-1.0-0.7","spark_pilot_norest","9154","4","14","Female","","","","","","","","3026.999999999942","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","17","268063","0.0-4.0-2.0-0.0","spark_pilot_norest","9154","4","14","Female","","true","","","","","","[]","./assets/img/space/0.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","",""
