"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1405","0.0-0.0","spark_pilot_norest","9678","1","7","Female","[{""event"":""blur"",""trial"":1,""time"":34372},{""event"":""focus"",""trial"":2,""time"":62137},{""event"":""fullscreenenter"",""trial"":2,""time"":62244},{""event"":""blur"",""trial"":500,""time"":2047544},{""event"":""focus"",""trial"":503,""time"":2059077}]","","","","","","","","","","","","","","","","","","","","",""
"preload","1","42498","0.0-1.0","spark_pilot_norest","9678","1","7","Female","[{""event"":""blur"",""trial"":1,""time"":34372},{""event"":""focus"",""trial"":2,""time"":62137},{""event"":""fullscreenenter"",""trial"":2,""time"":62244},{""event"":""blur"",""trial"":500,""time"":2047544},{""event"":""focus"",""trial"":503,""time"":2059077}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"fullscreen","2","63216","0.0-2.0","spark_pilot_norest","9678","1","7","Female","","true","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","66969","0.0-3.0-0.0-0.0","spark_pilot_norest","9678","1","7","Female","","","","","","","3280","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","81948","0.0-3.0-1.0-0.0","spark_pilot_norest","9678","1","7","Female","","","","","","","7927.300000190735","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","96079","0.0-3.0-1.0-0.1","spark_pilot_norest","9678","1","7","Female","","","","","","","5657.400000095367","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","114202","0.0-3.0-1.0-0.2","spark_pilot_norest","9678","1","7","Female","","","","","","","9780","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","130195","0.0-3.0-1.0-0.3","spark_pilot_norest","9678","1","7","Female","","","","","","","2693.5999999046326","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","143353","0.0-3.0-1.0-0.4","spark_pilot_norest","9678","1","7","Female","","","","","","","1541.4000000953674","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","154082","0.0-3.0-1.0-0.5","spark_pilot_norest","9678","1","7","Female","","","","","","","2869.5","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
