,subject_id,age,block_condition,categorical_age,reval_score,reval_single,last_10_accuracy,environment,block_order,rest,reval_accuracy,second_stage_test
0,8171,10.58,Revaluation,Children,0.5,False,1.0,canyon,1.0,No Rest,0.7777777777777778,1.0
1,8175,11.64,Revaluation,Children,0.25,False,1.0,ocean,1.0,No Rest,0.8888888888888888,0.375
2,8191,15.44,Revaluation,Adolescents,-0.09999999999999998,False,0.9,canyon,1.0,No Rest,0.8888888888888888,0.5
3,8200,19.77,Revaluation,Adults,0.5,False,1.0,ocean,1.0,No Rest,0.9444444444444444,0.75
4,8201,19.34,Revaluation,Adults,0.0,False,1.0,ocean,1.0,No Rest,0.8333333333333334,1.0
5,8210,22.47,Revaluation,Adults,0.0,False,1.0,ocean,2.0,No Rest,0.8888888888888888,1.0
6,8217,13.6,Revaluation,Adolescents,1.0,True,1.0,ocean,1.0,No Rest,0.8888888888888888,1.0
7,8320,12.56,Revaluation,Children,0.0,False,1.0,ocean,2.0,No Rest,0.8888888888888888,0.375
8,8322,12.95,Revaluation,Children,0.5,True,1.0,canyon,2.0,No Rest,0.8888888888888888,1.0
9,8324,12.68,Revaluation,Children,0.25,False,1.0,canyon,1.0,No Rest,0.8333333333333334,0.75
10,8325,12.22,Revaluation,Children,-0.19999999999999996,False,0.7,ocean,1.0,No Rest,0.8888888888888888,0.5
11,8338,14.02,Revaluation,Adolescents,0.0,False,0.9,ocean,2.0,No Rest,0.8333333333333334,0.625
12,8357,18.82,Revaluation,Adults,0.0,False,1.0,ocean,1.0,No Rest,0.8888888888888888,0.75
13,8365,20.93,Revaluation,Adults,0.5,False,1.0,canyon,1.0,No Rest,0.8888888888888888,1.0
14,8367,20.48,Revaluation,Adults,0.0,False,1.0,canyon,1.0,No Rest,0.8888888888888888,0.5
15,8368,20.06,Revaluation,Adults,0.0,False,1.0,ocean,2.0,No Rest,0.8333333333333334,1.0
16,8377,21.47,Revaluation,Adults,0.4,True,0.9,ocean,2.0,No Rest,0.7777777777777778,0.5
17,8388,8.91,Revaluation,Children,0.0,False,1.0,canyon,1.0,No Rest,0.9444444444444444,0.5
18,8392,11.08,Revaluation,Children,0.75,True,1.0,ocean,2.0,No Rest,0.8888888888888888,1.0
19,8403,14.9,Revaluation,Adolescents,1.0,True,1.0,canyon,2.0,No Rest,0.8888888888888888,1.0
20,8423,9.32,Revaluation,Children,0.5,False,1.0,canyon,1.0,No Rest,0.8888888888888888,0.5
21,8427,11.61,Revaluation,Children,1.0,True,1.0,ocean,2.0,No Rest,0.8888888888888888,0.875
22,8468,20.64,Revaluation,Adults,1.0,True,1.0,ocean,1.0,No Rest,0.8888888888888888,0.75
23,8469,20.88,Revaluation,Adults,0.75,False,1.0,canyon,2.0,No Rest,0.7777777777777778,1.0
24,8474,20.67,Revaluation,Adults,-0.09999999999999998,False,0.9,canyon,2.0,No Rest,0.8333333333333334,1.0
25,8551,8.24,Revaluation,Children,0.75,True,1.0,ocean,2.0,No Rest,0.8333333333333334,0.75
26,8558,9.01,Revaluation,Children,0.25,False,1.0,ocean,1.0,No Rest,0.8888888888888888,0.75
27,8559,10.18,Revaluation,Children,0.25,False,1.0,canyon,1.0,No Rest,0.8888888888888888,0.625
28,8564,10.9,Revaluation,Children,0.25,False,1.0,canyon,2.0,No Rest,0.9444444444444444,1.0
29,8566,10.49,Revaluation,Children,0.75,True,1.0,canyon,2.0,No Rest,0.8333333333333334,0.625
30,8568,10.37,Revaluation,Children,0.25,False,0.9,ocean,1.0,No Rest,0.7777777777777778,0.75
31,8574,10.91,Revaluation,Children,0.0,False,1.0,ocean,1.0,No Rest,0.7777777777777778,0.125
32,8582,11.62,Revaluation,Children,0.15000000000000002,False,0.9,canyon,1.0,No Rest,0.8888888888888888,0.875
33,8584,11.51,Revaluation,Children,0.0,False,1.0,ocean,2.0,No Rest,0.8333333333333334,0.5
34,8587,11.74,Revaluation,Children,0.30000000000000004,False,0.8,canyon,1.0,No Rest,0.7777777777777778,0.625
35,8589,11.97,Revaluation,Children,0.75,True,1.0,canyon,1.0,No Rest,0.8888888888888888,0.875
36,8595,12.08,Revaluation,Children,0.15000000000000002,False,0.9,canyon,1.0,No Rest,0.8333333333333334,0.625
37,8599,12.69,Revaluation,Children,1.0,True,1.0,ocean,2.0,No Rest,0.8888888888888888,1.0
38,8607,13.56,Revaluation,Adolescents,0.0,False,0.9,canyon,2.0,No Rest,0.8333333333333334,1.0
39,8609,13.95,Revaluation,Adolescents,0.5,True,1.0,ocean,2.0,No Rest,0.8888888888888888,1.0
40,8610,13.28,Revaluation,Adolescents,-0.09999999999999998,False,0.9,ocean,2.0,No Rest,0.9444444444444444,0.0
41,8615,13.87,Revaluation,Adolescents,0.4,False,0.9,ocean,1.0,No Rest,0.8888888888888888,0.5
42,8620,13.31,Revaluation,Adolescents,1.0,True,1.0,ocean,2.0,No Rest,0.8888888888888888,1.0
43,8632,14.62,Revaluation,Adolescents,0.0,False,1.0,canyon,2.0,No Rest,0.8888888888888888,1.0
44,8633,14.83,Revaluation,Adolescents,1.0,True,0.9,ocean,2.0,No Rest,0.8888888888888888,1.0
45,8661,16.49,Revaluation,Adolescents,0.9,True,0.9,ocean,1.0,No Rest,0.8888888888888888,0.5
46,8674,17.87,Revaluation,Adolescents,0.9,True,0.9,canyon,2.0,No Rest,0.8888888888888888,1.0
47,8676,18.94,Revaluation,Adults,0.0,False,1.0,canyon,1.0,No Rest,0.8333333333333334,0.5
48,8678,18.79,Revaluation,Adults,0.0,False,1.0,ocean,1.0,No Rest,0.8888888888888888,1.0
49,8684,18.74,Revaluation,Adults,0.75,True,1.0,ocean,1.0,No Rest,0.8888888888888888,0.5
50,8687,19.34,Revaluation,Adults,-0.09999999999999998,False,0.9,ocean,1.0,No Rest,0.8888888888888888,1.0
51,8699,19.45,Revaluation,Adults,1.0,True,1.0,ocean,2.0,No Rest,0.8888888888888888,1.0
52,8700,19.67,Revaluation,Adults,1.0,True,1.0,canyon,2.0,No Rest,0.8888888888888888,1.0
53,8702,19.13,Revaluation,Adults,-0.09999999999999998,False,0.9,ocean,1.0,No Rest,0.8333333333333334,0.5
54,8706,20.97,Revaluation,Adults,-0.09999999999999998,False,0.9,canyon,1.0,No Rest,0.8333333333333334,0.75
55,8716,21.65,Revaluation,Adults,0.25,False,1.0,canyon,2.0,No Rest,0.8888888888888888,0.5
56,8719,21.57,Revaluation,Adults,0.5,True,1.0,ocean,2.0,No Rest,0.8888888888888888,1.0
57,8731,23.87,Revaluation,Adults,1.0,True,0.8,canyon,1.0,No Rest,0.8333333333333334,0.75
58,8732,23.32,Revaluation,Adults,0.0,False,1.0,ocean,1.0,No Rest,0.8333333333333334,1.0
59,8734,24.0,Revaluation,Adults,0.75,True,1.0,ocean,1.0,No Rest,0.8333333333333334,0.75
60,8735,23.51,Revaluation,Adults,0.75,True,1.0,canyon,1.0,No Rest,0.8888888888888888,1.0
61,8771,22.96,Revaluation,Adults,0.0,False,1.0,canyon,1.0,No Rest,0.8333333333333334,0.5
62,8775,22.65,Revaluation,Adults,1.0,True,1.0,canyon,1.0,No Rest,0.8333333333333334,1.0
63,8778,22.81,Revaluation,Adults,0.0,False,1.0,canyon,1.0,No Rest,0.7777777777777778,0.0
64,8779,22.77,Revaluation,Adults,1.0,True,1.0,canyon,2.0,No Rest,0.8333333333333334,0.875
65,8819,18.71,Revaluation,Adults,0.0,False,1.0,canyon,2.0,No Rest,0.8333333333333334,1.0
