,subject,age,catch_correct,block1_second_half_accuracy,block2_second_half_accuracy,task_timeouts,memory_timeouts,comprehension_retries,interactions,dots_missed,parental_interference,categorical_age
0,9994,15,15,0.6190476190476191,0.5238095238095238,0.00625,0.0,2,14,0,False,Adolescents
1,12718,9,10,0.47619047619047616,0.0,0.31875,0.011363636363636364,4,3,0,False,Children
2,8398,13,0,0.7142857142857143,1.0,0.04375,0.0,1,4,0,False,Children
3,9617,21,9,0.8571428571428571,0.9523809523809523,0.0125,0.0,1,134,0,False,Adults
4,10032,8,11,0.38095238095238093,0.5238095238095238,0.0125,0.011363636363636364,0,12,0,False,Children
5,8636,14,12,0.6666666666666666,0.5714285714285714,0.03125,0.0,1,3,0,False,Adolescents
6,9150,14,13,0.09523809523809523,0.9523809523809523,0.00625,0.011363636363636364,2,1,0,False,Adolescents
7,9678,7,15,0.7142857142857143,0.0,0.04375,0.07954545454545454,4,5,0,False,Children
8,8780,22,13,0.0,1.0,0.01875,0.0,4,3,0,False,Adults
9,10572,23,16,1.0,0.9047619047619048,0.0375,0.0,0,58,0,False,Adults
10,10094,18,9,1.0,1.0,0.00625,0.0,1,14,0,False,Adolescents
11,11001,7,10,1.0,0.9523809523809523,0.0,0.0,2,4,0,False,Children
12,8205,20,16,1.0,0.0,0.00625,0.0,2,1,0,False,Adults
13,11452,9,13,0.0,0.2857142857142857,0.025,0.0,1,3,0,False,Children
14,8861,9,15,0.09523809523809523,0.5238095238095238,0.0125,0.0,1,1,0,False,Children
15,10828,17,15,0.047619047619047616,0.6666666666666666,0.025,1.0,2,1,0,False,Adolescents
16,10587,8,12,0.047619047619047616,0.7142857142857143,0.1,0.0,1,1,0,False,Children
17,9445,9,16,0.2857142857142857,1.0,0.0,0.0,1,1,0,False,Children
18,10690,8,15,0.23809523809523808,0.14285714285714285,0.15,0.0,3,4,0,False,Children
19,8218,16,8,0.9523809523809523,1.0,0.0,0.0,0,1,0,False,Adolescents
20,8730,23,0,0.5238095238095238,0.47619047619047616,0.16875,0.0,5,1,0,False,Adults
21,8449,17,15,0.42857142857142855,0.9047619047619048,0.04375,0.011363636363636364,2,7,0,False,Adolescents
22,9610,9,9,0.2857142857142857,0.9047619047619048,0.01875,0.0,1,1,0,False,Children
23,10685,7,11,0.0,0.9047619047619048,0.0375,0.0,3,6,0,False,Children
24,8554,8,5,0.2857142857142857,0.9047619047619048,0.03125,0.0,3,6,0,False,Children
25,8180,13,11,0.7142857142857143,0.9523809523809523,0.08125,0.011363636363636364,0,3,0,False,Children
26,10127,8,13,0.7619047619047619,0.0,0.05,0.0,1,1,0,False,Children
27,8442,17,14,0.42857142857142855,1.0,0.1875,0.0,0,1,0,False,Adolescents
28,9992,7,10,0.47619047619047616,0.7142857142857143,0.23125,0.0,2,1,0,False,Children
29,8609,13,16,0.9523809523809523,1.0,0.0125,0.0,1,3,0,True,Children
30,8612,13,9,0.8571428571428571,0.9523809523809523,0.05625,0.0,0,1,0,False,Children
31,11003,7,11,0.2857142857142857,0.14285714285714285,0.125,0.0,2,3,0,False,Children
32,8597,12,12,0.8571428571428571,0.9047619047619048,0.04375,0.0,1,23,0,False,Children
33,8335,14,9,1.0,0.9047619047619048,0.0375,0.0,1,8,0,False,Adolescents
34,11451,7,10,1.0,0.09523809523809523,0.075,0.0,4,1,0,False,Children
35,10612,17,12,0.0,0.0,0.06875,0.0,3,1,0,False,Adolescents
36,9998,21,8,1.0,0.9047619047619048,0.03125,0.0,3,4,0,False,Adults
37,8654,15,10,0.8571428571428571,1.0,0.0,0.0,1,3,0,False,Adolescents
38,8309,8,10,0.23809523809523808,0.3333333333333333,0.075,0.0,1,1,0,False,Children
39,8408,9,15,0.5714285714285714,0.38095238095238093,0.08125,0.011363636363636364,1,5,0,False,Children
40,8340,15,16,1.0,1.0,0.0,0.0,2,21,0,False,Adolescents
41,8655,15,7,0.23809523809523808,0.7619047619047619,0.0625,0.0,2,2,0,False,Adolescents
42,8435,7,1,0.9047619047619048,0.7619047619047619,0.1125,0.0,1,3,0,False,Children
43,8647,15,7,0.9047619047619048,0.7142857142857143,0.075,0.0,2,5,0,False,Adolescents
44,8552,8,6,0.6190476190476191,0.6190476190476191,0.1125,0.011363636363636364,3,1,0,False,Children
45,9443,8,9,1.0,1.0,0.025,0.0,1,5,0,False,Children
46,8170,10,17,0.42857142857142855,0.6190476190476191,0.00625,0.0,4,11,0,False,Children
47,9983,15,10,0.8571428571428571,0.9523809523809523,0.01875,0.0,3,1,0,False,Adolescents
48,9112,9,17,0.0,0.7619047619047619,0.0625,0.0,6,5,0,False,Children
49,12865,8,11,0.047619047619047616,0.0,0.05,0.0,4,7,0,False,Children
50,10588,9,10,0.9047619047619048,1.0,0.06875,0.0,2,1,0,False,Children
51,8422,9,8,0.8571428571428571,0.9523809523809523,0.09375,0.0,1,1,0,False,Children
52,10192,7,16,0.5714285714285714,0.38095238095238093,0.04375,0.0,1,6,0,False,Children
53,10511,9,17,0.7142857142857143,0.9047619047619048,0.03125,0.0,1,3,0,False,Children
54,11005,8,10,0.09523809523809523,0.5714285714285714,0.09375,0.0,3,1,0,False,Children
55,10827,7,5,0.14285714285714285,0.0,0.25625,0.0,2,6,0,False,Children
56,8321,12,15,0.0,0.9047619047619048,0.01875,0.0,3,3,0,False,Children
57,10689,8,15,0.7142857142857143,0.8571428571428571,0.04375,0.022727272727272728,2,4,0,False,Children
58,8391,12,12,1.0,0.0,0.0,0.0,2,7,0,False,Children
59,10114,23,14,0.09523809523809523,0.3333333333333333,0.00625,0.0,3,1,0,False,Adults
60,9973,7,13,0.9523809523809523,0.19047619047619047,0.2125,0.125,2,5,0,False,Children
61,9639,15,0,0.9523809523809523,1.0,0.0,0.0,4,1,0,False,Adolescents
62,8553,8,10,0.7619047619047619,1.0,0.0125,0.0,1,2,0,False,Children
63,10642,8,14,0.0,0.8095238095238095,0.03125,0.0,2,1,0,False,Children
64,8718,21,4,0.8095238095238095,0.8571428571428571,0.0875,0.0,3,7,0,False,Adults
