,index,subject_id,task_part,rt,timeout,stimulus,environment,score,isCatch,correct,block_condition,block_order,rewardMap,trial_num,ground_truth,age,subject_condition,rest,response0,response1,is_optimal_first,is_optimal_second,categorical_age,trial_bin
1,119,10608,value training,"[804.2999999970198,718.1999999880791]",False,./assets/img/ocean/memory/25.jpg,ocean,10.0,False,False,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",2,,8.62,3,norest,ArrowUp,ArrowRight,False,False,Children,0
2,121,10608,value training,"[332.59999999403954,113.20000000298023]",False,./assets/img/ocean/memory/21.jpg,ocean,23.0,False,False,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",3,,8.62,3,norest,ArrowUp,ArrowLeft,False,False,Children,0
3,123,10608,value training,"[169.29999999701977,536.3999999910593]",False,./assets/img/ocean/memory/4.jpg,ocean,8.0,False,False,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",4,,8.62,3,norest,ArrowDown,ArrowLeft,True,True,Children,0
4,125,10608,value training,"[855.1999999880791,517]",False,./assets/img/ocean/memory/14.jpg,ocean,30.0,False,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",5,,8.62,3,norest,ArrowDown,ArrowRight,True,True,Children,0
6,129,10608,value training,"[404.90000000596046,197.40000000596046]",False,./assets/img/ocean/memory/4.jpg,ocean,30.0,False,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",6,,8.62,3,norest,ArrowDown,ArrowRight,True,True,Children,5
7,131,10608,value training,"[1091.800000011921,559]",False,./assets/img/ocean/memory/18.jpg,ocean,30.0,False,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",7,,8.62,3,norest,ArrowDown,ArrowRight,True,True,Children,5
8,133,10608,value training,"[665.2999999970198,582.1000000089407]",False,./assets/img/ocean/memory/0.jpg,ocean,30.0,False,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",8,,8.62,3,norest,ArrowDown,ArrowRight,True,True,Children,5
9,135,10608,value training,"[605.7000000029802,475]",False,./assets/img/ocean/memory/1.jpg,ocean,30.0,False,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",9,,8.62,3,norest,ArrowDown,ArrowRight,True,True,Children,5
10,137,10608,value training,"[617.8999999910593,353]",False,./assets/img/ocean/memory/16.jpg,ocean,30.0,False,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",10,,8.62,3,norest,ArrowDown,ArrowRight,True,True,Children,5
11,139,10608,value training,"[617.9000000059605,557.6999999880791]",False,./assets/img/ocean/memory/18.jpg,ocean,30.0,False,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",11,,8.62,3,norest,ArrowDown,ArrowRight,True,True,Children,10
