,level_0,index,subject_id,task_part,timeout,stimulus,environment,score,isCatch,correct,block_condition,block_order,rewardMap,trial_num,ground_truth,age,gender,subject_condition,rest,rt0,rt1,response0,response1,is_optimal_first,is_optimal_second,optimal_score,categorical_age,trial_bin,is_optimal
0,0,119,9888,value training,False,./assets/img/ocean/memory/17.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",1,,7.05,Male,3,norest,1261.199999988079,991.1000000238419,ArrowDown,ArrowRight,True,True,30.0,Children,0,True
1,1,121,9888,value training,False,./assets/img/ocean/memory/19.jpg,ocean,10.0,False,False,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",2,,7.05,Male,3,norest,1142.800000011921,936.8000000119209,ArrowUp,ArrowRight,False,False,30.0,Children,0,False
2,2,123,9888,value training,False,./assets/img/ocean/memory/33.jpg,ocean,23.0,False,False,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",3,,7.05,Male,3,norest,1072.6000000238419,1001.5,ArrowUp,ArrowLeft,False,True,30.0,Children,0,False
3,3,125,9888,value training,False,./assets/img/ocean/memory/16.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",4,,7.05,Male,3,norest,1232.300000011921,650.6000000238419,ArrowDown,ArrowRight,True,True,30.0,Children,0,True
4,4,127,9888,value training,False,./assets/img/ocean/memory/23.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",5,,7.05,Male,3,norest,1104.5999999642372,532.5,ArrowDown,ArrowRight,True,True,30.0,Children,0,True
5,5,129,9888,value training,False,./assets/img/ocean/memory/41.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",6,,7.05,Male,3,norest,914.3999999761581,1045.0,ArrowDown,ArrowRight,True,True,30.0,Children,5,True
9,9,137,9888,value training,False,./assets/img/ocean/memory/1.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",8,,7.05,Male,3,norest,841.9000000357628,747.0999999642372,ArrowDown,ArrowRight,True,True,30.0,Children,5,True
10,10,139,9888,value training,False,./assets/img/ocean/memory/18.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",9,,7.05,Male,3,norest,672.1999999880791,522.8999999761581,ArrowDown,ArrowRight,True,True,30.0,Children,5,True
11,11,141,9888,value training,False,./assets/img/ocean/memory/30.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",10,,7.05,Male,3,norest,1866.0,1073.6000000238419,ArrowDown,ArrowRight,True,True,30.0,Children,5,True
13,13,145,9888,value training,False,./assets/img/ocean/memory/30.jpg,ocean,30.0,False,True,original,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",11,,7.05,Male,3,norest,1579.5,639.2000000476837,ArrowDown,ArrowRight,True,True,30.0,Children,10,True
