,subject_id,age,trial_num,block_condition,block_order,stage,optimal
0,10608,8.62,2,Control,1.0,First,False
1,10608,8.62,3,Control,1.0,First,False
2,10608,8.62,4,Control,1.0,First,True
3,10608,8.62,5,Control,1.0,First,True
4,10608,8.62,6,Control,1.0,First,True
5,10608,8.62,7,Control,1.0,First,True
6,10608,8.62,8,Control,1.0,First,True
7,10608,8.62,9,Control,1.0,First,True
8,10608,8.62,10,Control,1.0,First,True
9,10608,8.62,11,Control,1.0,First,True
10,10608,8.62,12,Control,1.0,First,True
11,10608,8.62,13,Control,1.0,First,True
12,10608,8.62,14,Control,1.0,First,True
13,10608,8.62,15,Control,1.0,First,True
14,10608,8.62,16,Control,1.0,First,True
15,10608,8.62,17,Control,1.0,First,True
16,10608,8.62,18,Control,1.0,First,True
17,10608,8.62,19,Control,1.0,First,True
18,10608,8.62,20,Control,1.0,First,True
19,10608,8.62,21,Control,1.0,First,True
20,10608,8.62,22,Control,1.0,First,True
21,10608,8.62,23,Control,1.0,First,True
22,10608,8.62,24,Control,1.0,First,True
23,10608,8.62,25,Control,1.0,First,True
24,10608,8.62,26,Control,1.0,First,True
25,10608,8.62,27,Control,1.0,First,True
26,10608,8.62,28,Control,1.0,First,True
27,10608,8.62,29,Control,1.0,First,True
28,10608,8.62,30,Control,1.0,First,True
29,10608,8.62,31,Control,1.0,First,True
30,10608,8.62,32,Control,1.0,First,True
31,10608,8.62,33,Control,1.0,First,True
32,10608,8.62,34,Control,1.0,First,True
33,10608,8.62,35,Control,1.0,First,True
34,10608,8.62,36,Control,1.0,First,True
35,10608,8.62,37,Control,1.0,First,True
36,10608,8.62,38,Control,1.0,First,True
37,10608,8.62,39,Control,1.0,First,True
38,10608,8.62,40,Control,1.0,First,True
39,10608,8.62,41,Control,1.0,First,True
40,10608,8.62,42,Control,1.0,First,True
41,10608,8.62,1,Revaluation,2.0,First,True
42,10608,8.62,2,Revaluation,2.0,First,False
43,10608,8.62,3,Revaluation,2.0,First,True
44,10608,8.62,4,Revaluation,2.0,First,False
45,10608,8.62,5,Revaluation,2.0,First,True
46,10608,8.62,6,Revaluation,2.0,First,True
47,10608,8.62,7,Revaluation,2.0,First,True
48,10608,8.62,8,Revaluation,2.0,First,True
49,10608,8.62,9,Revaluation,2.0,First,True
50,10608,8.62,10,Revaluation,2.0,First,True
51,10608,8.62,11,Revaluation,2.0,First,True
52,10608,8.62,12,Revaluation,2.0,First,True
53,10608,8.62,13,Revaluation,2.0,First,True
54,10608,8.62,14,Revaluation,2.0,First,True
55,10608,8.62,15,Revaluation,2.0,First,True
56,10608,8.62,16,Revaluation,2.0,First,True
57,10608,8.62,17,Revaluation,2.0,First,True
58,10608,8.62,18,Revaluation,2.0,First,True
59,10608,8.62,19,Revaluation,2.0,First,True
60,10608,8.62,20,Revaluation,2.0,First,True
61,10608,8.62,21,Revaluation,2.0,First,True
62,10608,8.62,22,Revaluation,2.0,First,True
63,10608,8.62,23,Revaluation,2.0,First,True
64,10608,8.62,24,Revaluation,2.0,First,True
65,10608,8.62,25,Revaluation,2.0,First,True
66,10608,8.62,26,Revaluation,2.0,First,True
67,10608,8.62,27,Revaluation,2.0,First,True
68,10608,8.62,28,Revaluation,2.0,First,True
69,10608,8.62,29,Revaluation,2.0,First,True
70,10608,8.62,30,Revaluation,2.0,First,True
71,10608,8.62,31,Revaluation,2.0,First,True
72,10608,8.62,32,Revaluation,2.0,First,True
73,10608,8.62,33,Revaluation,2.0,First,True
74,10608,8.62,34,Revaluation,2.0,First,True
75,10608,8.62,35,Revaluation,2.0,First,True
