,index,subject_id,task_part,rt,timeout,stimulus,environment,score,isCatch,correct,rewardMap,trial_num,ground_truth,age,subject_condition,rest,response0,response1,is_optimal_first,is_optimal_second,categorical_age,block_order,block_condition
0,484,10608,memory,1740,False,./assets/img/canyon/memory/19.jpg,canyon,10.0,,True,,4,old,8.62,3,norest,maybe_old,,,,Children,2.0,Revaluation
1,486,10608,memory,1024,False,./assets/img/canyon/memory/21.jpg,canyon,10.0,,True,,5,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
2,488,10608,memory,1117,False,./assets/img/ocean/memory/14.jpg,ocean,0.0,,False,,6,old,8.62,3,norest,maybe_new,,,,Children,1.0,Control
3,490,10608,memory,1255,False,./assets/img/canyon/memory/24.jpg,canyon,10.0,,True,,7,new,8.62,3,norest,maybe_new,,,,Children,2.0,Revaluation
4,492,10608,memory,1018,False,./assets/img/canyon/memory/31.jpg,canyon,10.0,,True,,8,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
5,494,10608,memory,1317,False,./assets/img/ocean/memory/16.jpg,ocean,10.0,,True,,9,old,8.62,3,norest,definitely_old,,,,Children,1.0,Control
6,496,10608,memory,1332,False,./assets/img/ocean/memory/19.jpg,ocean,10.0,,True,,10,old,8.62,3,norest,definitely_old,,,,Children,1.0,Control
7,498,10608,memory,1473,False,./assets/img/canyon/memory/23.jpg,canyon,10.0,,True,,11,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
8,500,10608,memory,1096,False,./assets/img/ocean/memory/17.jpg,ocean,10.0,,True,,12,new,8.62,3,norest,maybe_new,,,,Children,1.0,Control
9,502,10608,memory,1573,False,./assets/img/canyon/memory/1.jpg,canyon,0.0,,False,,13,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
10,504,10608,memory,1185,False,./assets/img/canyon/memory/2.jpg,canyon,0.0,,False,,14,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
11,506,10608,memory,1142,False,./assets/img/ocean/memory/2.jpg,ocean,10.0,,True,,15,old,8.62,3,norest,definitely_old,,,,Children,1.0,Control
12,508,10608,memory,2139,False,./assets/img/ocean/memory/36.jpg,ocean,10.0,,True,,16,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
13,510,10608,memory,1597,False,./assets/img/canyon/memory/8.jpg,canyon,0.0,,False,,17,new,8.62,3,norest,definitely_old,,,,Children,2.0,Revaluation
14,512,10608,memory,1818,False,./assets/img/canyon/memory/12.jpg,canyon,0.0,,False,,18,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
15,514,10608,memory,1313,False,./assets/img/canyon/memory/41.jpg,canyon,0.0,,False,,19,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
16,516,10608,memory,1082,False,./assets/img/canyon/memory/3.jpg,canyon,10.0,,True,,20,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
17,518,10608,memory,939,False,./assets/img/ocean/memory/11.jpg,ocean,0.0,,False,,21,old,8.62,3,norest,definitely_new,,,,Children,1.0,Control
18,520,10608,memory,1162,False,./assets/img/canyon/memory/39.jpg,canyon,0.0,,False,,22,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
19,522,10608,memory,780,False,./assets/img/canyon/memory/38.jpg,canyon,0.0,,False,,23,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
20,524,10608,memory,626,False,./assets/img/ocean/memory/38.jpg,ocean,10.0,,True,,24,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
21,526,10608,memory,311,False,./assets/img/ocean/memory/15.jpg,ocean,10.0,,True,,25,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
22,528,10608,memory,403,False,./assets/img/canyon/memory/14.jpg,canyon,10.0,,True,,26,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
23,530,10608,memory,766,False,./assets/img/canyon/memory/16.jpg,canyon,0.0,,False,,27,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
24,532,10608,memory,984,False,./assets/img/ocean/memory/7.jpg,ocean,0.0,,False,,28,old,8.62,3,norest,definitely_new,,,,Children,1.0,Control
25,534,10608,memory,1313,False,./assets/img/canyon/memory/28.jpg,canyon,10.0,,True,,29,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
26,536,10608,memory,761,False,./assets/img/ocean/memory/30.jpg,ocean,10.0,,True,,30,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
27,538,10608,memory,886,False,./assets/img/ocean/memory/24.jpg,ocean,10.0,,True,,31,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
28,540,10608,memory,1345,False,./assets/img/ocean/memory/0.jpg,ocean,0.0,,False,,32,old,8.62,3,norest,definitely_new,,,,Children,1.0,Control
29,542,10608,memory,1042,False,./assets/img/canyon/memory/22.jpg,canyon,10.0,,True,,33,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
30,544,10608,memory,746,False,./assets/img/ocean/memory/12.jpg,ocean,10.0,,True,,34,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
31,546,10608,memory,689,False,./assets/img/canyon/memory/10.jpg,canyon,10.0,,True,,35,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
32,548,10608,memory,457,False,./assets/img/ocean/memory/9.jpg,ocean,0.0,,False,,36,old,8.62,3,norest,definitely_new,,,,Children,1.0,Control
33,550,10608,memory,1546,False,./assets/img/ocean/memory/37.jpg,ocean,0.0,,False,,37,new,8.62,3,norest,definitely_old,,,,Children,1.0,Control
34,552,10608,memory,1336,False,./assets/img/canyon/memory/11.jpg,canyon,0.0,,False,,38,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
35,554,10608,memory,1207,False,./assets/img/ocean/memory/3.jpg,ocean,10.0,,True,,39,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
36,556,10608,memory,457,False,./assets/img/ocean/memory/32.jpg,ocean,10.0,,True,,40,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
37,558,10608,memory,227,False,./assets/img/ocean/memory/21.jpg,ocean,0.0,,False,,41,old,8.62,3,norest,definitely_new,,,,Children,1.0,Control
38,560,10608,memory,714,False,./assets/img/canyon/memory/0.jpg,canyon,0.0,,False,,42,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
39,562,10608,memory,2004,False,./assets/img/canyon/memory/27.jpg,canyon,0.0,,False,,43,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
40,564,10608,memory,758,False,./assets/img/canyon/memory/40.jpg,canyon,0.0,,False,,44,old,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
41,566,10608,memory,770,False,./assets/img/ocean/memory/33.jpg,ocean,10.0,,True,,45,new,8.62,3,norest,definitely_new,,,,Children,1.0,Control
42,568,10608,memory,1643,False,./assets/img/ocean/memory/13.jpg,ocean,10.0,,True,,46,old,8.62,3,norest,definitely_old,,,,Children,1.0,Control
43,570,10608,memory,288,False,./assets/img/canyon/memory/33.jpg,canyon,10.0,,True,,47,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
44,572,10608,memory,1937,False,./assets/img/canyon/memory/17.jpg,canyon,10.0,,True,,48,new,8.62,3,norest,definitely_new,,,,Children,2.0,Revaluation
45,574,10608,memory,1497,False,./assets/img/canyon/memory/15.jpg,canyon,0.0,,False,,49,old,8.62,3,norest,maybe_new,,,,Children,2.0,Revaluation
