,index,subject_id,task_part,rt,timeout,stimulus,environment,score,isCatch,correct,block_condition,block_order,rewardMap,trial_num,ground_truth,age,subject_condition,rest,response0,response1,is_optimal_first,is_optimal_second,categorical_age,trial
51,220,10608,revaluation,[384.1000000089407],False,./assets/img/ocean/animals/seahorse.jpg,ocean,10.0,,False,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",1,,8.62,3,norest,ArrowRight,,,,Children,1
52,222,10608,revaluation,[396.8999999910593],False,./assets/img/ocean/animals/seahorse.jpg,ocean,23.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",2,,8.62,3,norest,ArrowLeft,,,,Children,2
53,224,10608,revaluation,[502.59999999403954],False,./assets/img/ocean/animals/seahorse.jpg,ocean,23.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",3,,8.62,3,norest,ArrowLeft,,,,Children,3
54,226,10608,revaluation,[918.2000000029802],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",4,,8.62,3,norest,ArrowRight,,,,Children,0
56,230,10608,revaluation,[630.4000000059605],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",6,,8.62,3,norest,ArrowRight,,,,Children,2
57,232,10608,revaluation,[1350.5999999940395],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",7,,8.62,3,norest,ArrowRight,,,,Children,3
58,234,10608,revaluation,[829.9000000059605],False,./assets/img/ocean/animals/seahorse.jpg,ocean,23.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",8,,8.62,3,norest,ArrowLeft,,,,Children,4
59,236,10608,revaluation,[1369.7000000029802],False,./assets/img/ocean/animals/seahorse.jpg,ocean,23.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",9,,8.62,3,norest,ArrowLeft,,,,Children,5
60,238,10608,revaluation,[1225.5999999940395],False,./assets/img/ocean/animals/seahorse.jpg,ocean,23.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",10,,8.62,3,norest,ArrowLeft,,,,Children,6
61,240,10608,revaluation,[627.4000000059605],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",11,,8.62,3,norest,ArrowRight,,,,Children,4
62,242,10608,revaluation,[1088.2999999970198],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",12,,8.62,3,norest,ArrowRight,,,,Children,5
63,244,10608,revaluation,[585],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",13,,8.62,3,norest,ArrowRight,,,,Children,6
64,246,10608,revaluation,[815.8999999910593],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",14,,8.62,3,norest,ArrowRight,,,,Children,7
65,248,10608,revaluation,[487.80000001192093],False,./assets/img/ocean/animals/octopus.jpg,ocean,30.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",15,,8.62,3,norest,ArrowRight,,,,Children,8
66,250,10608,revaluation,[746.3000000119209],False,./assets/img/ocean/animals/seahorse.jpg,ocean,23.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",16,,8.62,3,norest,ArrowLeft,,,,Children,7
67,252,10608,revaluation,[1328.800000011921],False,./assets/img/ocean/animals/seahorse.jpg,ocean,23.0,,True,Control,1.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",17,,8.62,3,norest,ArrowLeft,,,,Children,8
131,395,10608,revaluation,[1011.6000000089407],False,./assets/img/canyon/animals/giraffe.jpg,canyon,2.0,,False,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",1,,8.62,3,norest,ArrowLeft,,,,Children,1
132,397,10608,revaluation,[614.6000000089407],False,./assets/img/canyon/animals/lion.jpg,canyon,8.0,,False,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",2,,8.62,3,norest,ArrowLeft,,,,Children,0
133,399,10608,revaluation,[364.29999999701977],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",3,,8.62,3,norest,ArrowRight,,,,Children,1
134,401,10608,revaluation,[596.8000000119209],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",4,,8.62,3,norest,ArrowRight,,,,Children,2
135,403,10608,revaluation,[1.1000000089406967],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",5,,8.62,3,norest,ArrowRight,,,,Children,2
136,405,10608,revaluation,[30.200000002980232],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",6,,8.62,3,norest,ArrowRight,,,,Children,3
137,407,10608,revaluation,[6.899999991059303],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",7,,8.62,3,norest,ArrowRight,,,,Children,4
138,409,10608,revaluation,[29.799999997019768],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",8,,8.62,3,norest,ArrowRight,,,,Children,5
139,411,10608,revaluation,[16.700000002980232],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",9,,8.62,3,norest,ArrowRight,,,,Children,6
140,413,10608,revaluation,[25.5],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",10,,8.62,3,norest,ArrowRight,,,,Children,3
141,415,10608,revaluation,[15.099999994039536],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",11,,8.62,3,norest,ArrowRight,,,,Children,4
142,417,10608,revaluation,[0.6000000089406967],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",12,,8.62,3,norest,ArrowRight,,,,Children,7
143,419,10608,revaluation,[15.200000002980232],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",13,,8.62,3,norest,ArrowRight,,,,Children,5
144,421,10608,revaluation,[2.4000000059604645],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",14,,8.62,3,norest,ArrowRight,,,,Children,6
145,423,10608,revaluation,[11.100000008940697],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",15,,8.62,3,norest,ArrowRight,,,,Children,8
146,425,10608,revaluation,[27.200000002980232],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",16,,8.62,3,norest,ArrowRight,,,,Children,7
147,427,10608,revaluation,[10.299999997019768],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,2.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",17,,8.62,3,norest,ArrowRight,,,,Children,8
298,220,11405,revaluation,[945.6999999997206],False,./assets/img/canyon/animals/giraffe.jpg,canyon,2.0,,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",0,,7.54,8,norest,ArrowLeft,,,,Children,0
299,222,11405,revaluation,[407.89999999990687],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",1,,7.54,8,norest,ArrowRight,,,,Children,1
300,224,11405,revaluation,[1047.9000000003725],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",2,,7.54,8,norest,ArrowRight,,,,Children,0
301,226,11405,revaluation,[615.6999999997206],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",3,,7.54,8,norest,ArrowRight,,,,Children,1
302,228,11405,revaluation,[544.2999999998137],False,./assets/img/canyon/animals/giraffe.jpg,canyon,2.0,,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",4,,7.54,8,norest,ArrowLeft,,,,Children,2
303,230,11405,revaluation,[635.2000000001863],False,./assets/img/canyon/animals/lion.jpg,canyon,8.0,,False,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",5,,7.54,8,norest,ArrowLeft,,,,Children,2
304,232,11405,revaluation,[1468.8999999999069],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",6,,7.54,8,norest,ArrowRight,,,,Children,3
305,234,11405,revaluation,[806.2000000001863],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",7,,7.54,8,norest,ArrowRight,,,,Children,3
306,236,11405,revaluation,[459],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",8,,7.54,8,norest,ArrowRight,,,,Children,4
307,238,11405,revaluation,[715.9000000003725],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",9,,7.54,8,norest,ArrowRight,,,,Children,4
308,240,11405,revaluation,[661.2999999998137],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",10,,7.54,8,norest,ArrowRight,,,,Children,5
309,242,11405,revaluation,[899.0999999996275],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",11,,7.54,8,norest,ArrowRight,,,,Children,6
310,244,11405,revaluation,[513.7999999998137],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",12,,7.54,8,norest,ArrowRight,,,,Children,7
311,246,11405,revaluation,[501.60000000009313],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",13,,7.54,8,norest,ArrowRight,,,,Children,5
312,248,11405,revaluation,[486.5],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",14,,7.54,8,norest,ArrowRight,,,,Children,6
313,250,11405,revaluation,[616.8000000002794],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",15,,7.54,8,norest,ArrowRight,,,,Children,7
314,252,11405,revaluation,[501.39999999990687],False,./assets/img/canyon/animals/giraffe.jpg,canyon,11.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",16,,7.54,8,norest,ArrowRight,,,,Children,8
315,254,11405,revaluation,[1122.8999999999069],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",17,,7.54,8,norest,ArrowRight,,,,Children,8
378,395,11405,revaluation,[1060.1999999997206],False,./assets/img/ocean/animals/seahorse.jpg,ocean,30.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",0,,7.54,8,norest,ArrowRight,,,,Children,0
379,397,11405,revaluation,[385.10000000009313],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",1,,7.54,8,norest,ArrowLeft,,,,Children,0
380,399,11405,revaluation,[579.5],False,./assets/img/ocean/animals/seahorse.jpg,ocean,30.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",2,,7.54,8,norest,ArrowRight,,,,Children,1
381,401,11405,revaluation,[931.7000000001863],False,./assets/img/ocean/animals/octopus.jpg,ocean,10.0,,False,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",3,,7.54,8,norest,ArrowRight,,,,Children,1
382,403,11405,revaluation,[684.6000000000931],False,./assets/img/ocean/animals/seahorse.jpg,ocean,8.0,,False,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",4,,7.54,8,norest,ArrowLeft,,,,Children,2
383,405,11405,revaluation,[503.5],False,./assets/img/ocean/animals/seahorse.jpg,ocean,30.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",5,,7.54,8,norest,ArrowRight,,,,Children,3
384,407,11405,revaluation,[523.3999999999069],False,./assets/img/ocean/animals/seahorse.jpg,ocean,8.0,,False,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",6,,7.54,8,norest,ArrowLeft,,,,Children,4
385,409,11405,revaluation,[822.1000000000931],False,./assets/img/ocean/animals/seahorse.jpg,ocean,30.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",7,,7.54,8,norest,ArrowRight,,,,Children,5
386,411,11405,revaluation,[922],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",8,,7.54,8,norest,ArrowLeft,,,,Children,2
387,413,11405,revaluation,[722],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",9,,7.54,8,norest,ArrowLeft,,,,Children,3
388,415,11405,revaluation,[752.6000000000931],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",10,,7.54,8,norest,ArrowLeft,,,,Children,4
389,417,11405,revaluation,[622],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",11,,7.54,8,norest,ArrowLeft,,,,Children,5
390,419,11405,revaluation,[611.6999999997206],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",12,,7.54,8,norest,ArrowLeft,,,,Children,6
391,421,11405,revaluation,[771],False,./assets/img/ocean/animals/seahorse.jpg,ocean,30.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",13,,7.54,8,norest,ArrowRight,,,,Children,6
392,423,11405,revaluation,[835.3999999999069],False,./assets/img/ocean/animals/seahorse.jpg,ocean,30.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",14,,7.54,8,norest,ArrowRight,,,,Children,7
393,425,11405,revaluation,[1715],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",15,,7.54,8,norest,ArrowLeft,,,,Children,7
394,427,11405,revaluation,[471.60000000009313],False,./assets/img/ocean/animals/seahorse.jpg,ocean,30.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",16,,7.54,8,norest,ArrowRight,,,,Children,8
395,429,11405,revaluation,[411],False,./assets/img/ocean/animals/octopus.jpg,ocean,23.0,,True,Control,2.0,"{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}",17,,7.54,8,norest,ArrowLeft,,,,Children,8
546,218,8388,revaluation,[1605.7999999970198],False,./assets/img/canyon/animals/lion.jpg,canyon,27.0,,True,Revaluation,1.0,"{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}",0,,8.91,8,norest,ArrowRight,,,,Children,0
