"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","2120","0.0-0.0","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","[{""event"":""focus"",""trial"":1,""time"":10104},{""event"":""blur"",""trial"":1,""time"":12504},{""event"":""focus"",""trial"":1,""time"":15993},{""event"":""blur"",""trial"":1,""time"":35815},{""event"":""focus"",""trial"":1,""time"":45499},{""event"":""fullscreenenter"",""trial"":2,""time"":50855}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","48930","0.0-1.0","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","[{""event"":""focus"",""trial"":1,""time"":10104},{""event"":""blur"",""trial"":1,""time"":12504},{""event"":""focus"",""trial"":1,""time"":15993},{""event"":""blur"",""trial"":1,""time"":35815},{""event"":""focus"",""trial"":1,""time"":45499},{""event"":""fullscreenenter"",""trial"":2,""time"":50855}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","51844","0.0-2.0","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","true","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","53930","0.0-3.0-0.0-0.0","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","2061","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","4","62699","0.0-3.0-1.0-0.0","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","1773.5","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","5","71774","0.0-3.0-1.0-0.1","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","669.3999999761581","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","6","80706","0.0-3.0-1.0-0.2","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","681.6999999880791","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","94742","0.0-3.0-1.0-0.3","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","898.1000000238419","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","106661","0.0-3.0-1.0-0.4","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","507.30000001192093","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","114879","0.0-3.0-1.0-0.5","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","405.39999997615814","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
