"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","755","0.0-0.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","21668","0.0-1.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":27303},{""event"":""fullscreenenter"",""trial"":2,""time"":27303}]","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","28248","0.0-2.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","32578","0.0-3.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","35187","0.0-4.0-0.0-0.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","2520","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","5","43986","0.0-4.0-1.0-0.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1838","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","6","53410","0.0-4.0-1.0-0.1","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1035","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","62998","0.0-4.0-1.0-0.2","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1352","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","78681","0.0-4.0-1.0-0.3","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1187","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","91030","0.0-4.0-1.0-0.4","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","952","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","10","99760","0.0-4.0-1.0-0.5","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","922.0000000000146","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","11","109782","0.0-4.0-1.0-0.6","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1235","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","12","117760","0.0-4.0-1.0-0.7","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","962","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","13","121775","0.0-4.0-2.0-0.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","false","","","","","","[1292]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","14","122276","0.0-4.0-2.0-1.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","15","126280","0.0-4.0-2.0-0.1","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","true","","","","","","[]","./assets/img/space/1.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","","","",""
"html-keyboard-response","16","126782","0.0-4.0-2.0-1.1","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","17","130787","0.0-4.0-2.0-0.2","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","true","","","","","","[]","./assets/img/space/2.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","","","",""
