"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"pavlovia","0","1236","0.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","13572","0.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":19071}]","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","20041","0.0-2.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","true","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","31773","0.0-3.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","34998","0.0-4.0-0.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","2920","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","5","43519","0.0-4.0-1.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1554","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","53491","0.0-4.0-1.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1570","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","62878","0.0-4.0-1.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1126.0000000000073","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","77664","0.0-4.0-1.0-0.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1643","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","89586","0.0-4.0-1.0-0.4","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","507","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
