,subject_id,block_condition,reval_score,reval_single,last_10_accuracy,environment,block_order,reval_accuracy,second_stage_test,rest
0,3,Revaluation,0.0,False,1.0,ocean,1.0,0.7777777777777778,0.5,False
1,3,Control,0.25,True,1.0,canyon,2.0,0.7222222222222222,0.875,False
2,5,Revaluation,0.5,True,1.0,ocean,1.0,0.8333333333333334,0.375,True
3,5,Control,0.0,False,1.0,canyon,2.0,0.8888888888888888,1.0,True
4,7,Revaluation,1.0,True,1.0,canyon,2.0,0.7777777777777778,1.0,False
5,7,Control,0.0,False,1.0,ocean,1.0,1.0,1.0,False
6,8,Revaluation,0.0,False,1.0,ocean,1.0,0.8333333333333334,1.0,True
7,8,Control,0.0,False,1.0,canyon,2.0,0.7777777777777778,1.0,True
8,9,Revaluation,0.15000000000000002,True,0.8,canyon,2.0,0.7222222222222222,0.25,True
9,9,Control,0.0,False,1.0,ocean,1.0,0.9444444444444444,1.0,True
10,10,Revaluation,0.25,False,1.0,canyon,1.0,0.7222222222222222,0.625,True
11,10,Control,0.5,True,1.0,ocean,2.0,0.3333333333333333,0.5,True
12,11,Revaluation,0.75,True,0.9,ocean,1.0,0.5555555555555556,1.0,False
13,11,Control,0.25,True,0.9,canyon,2.0,0.7777777777777778,0.5,False
14,12,Revaluation,0.25,False,1.0,ocean,1.0,0.7222222222222222,1.0,True
15,12,Control,0.5,True,1.0,canyon,2.0,0.8888888888888888,1.0,True
16,15,Revaluation,0.25,False,1.0,canyon,1.0,0.6111111111111112,0.75,False
17,15,Control,0.5,True,1.0,ocean,2.0,0.6111111111111112,0.625,False
18,16,Revaluation,0.0,False,1.0,canyon,2.0,0.9444444444444444,0.375,False
19,16,Control,0.75,True,1.0,ocean,1.0,0.8333333333333334,1.0,False
20,20,Revaluation,0.25,False,1.0,canyon,1.0,0.6111111111111112,0.625,True
21,20,Control,0.25,False,1.0,ocean,2.0,0.9444444444444444,1.0,True
22,21,Revaluation,0.0,False,1.0,canyon,2.0,0.8333333333333334,1.0,True
23,21,Control,-0.19999999999999996,False,0.7,ocean,1.0,0.8888888888888888,1.0,True
24,22,Revaluation,0.75,True,1.0,ocean,1.0,0.8333333333333334,0.0,False
25,22,Control,1.0,True,1.0,canyon,2.0,0.4444444444444444,0.5,False
26,23,Revaluation,-0.09999999999999998,False,0.9,canyon,1.0,0.8333333333333334,1.0,False
27,23,Control,0.0,False,1.0,ocean,2.0,0.9444444444444444,1.0,False
28,24,Revaluation,0.25,False,1.0,canyon,1.0,0.7222222222222222,0.75,True
29,24,Control,0.25,False,1.0,ocean,2.0,0.6666666666666666,0.875,True
30,32,Revaluation,0.0,False,1.0,canyon,1.0,0.6111111111111112,0.375,True
31,32,Control,0.0,False,1.0,ocean,2.0,0.5555555555555556,0.875,True
32,39,Revaluation,0.5,True,1.0,ocean,2.0,0.8888888888888888,0.5,True
33,39,Control,0.0,False,1.0,canyon,1.0,0.8888888888888888,1.0,True
34,40,Revaluation,0.25,False,1.0,canyon,2.0,0.8888888888888888,1.0,False
35,40,Control,0.25,True,1.0,ocean,1.0,1.0,1.0,False
36,41,Revaluation,0.75,True,1.0,ocean,1.0,0.2222222222222222,0.5,False
37,41,Control,0.5,False,1.0,canyon,2.0,0.4444444444444444,0.25,False
38,42,Revaluation,0.5,False,1.0,ocean,2.0,0.7222222222222222,1.0,True
39,42,Control,0.0,False,1.0,canyon,1.0,0.9444444444444444,1.0,True
40,43,Revaluation,0.5,True,1.0,canyon,2.0,0.6666666666666666,0.75,True
41,43,Control,0.0,False,1.0,ocean,1.0,0.9444444444444444,1.0,True
42,44,Revaluation,0.25,True,1.0,canyon,2.0,0.8333333333333334,0.375,True
43,44,Control,-0.09999999999999998,False,0.9,ocean,1.0,0.9444444444444444,0.875,True
44,47,Revaluation,0.15000000000000002,False,0.9,canyon,1.0,0.3888888888888889,0.125,True
45,47,Control,0.5,True,1.0,ocean,2.0,0.4444444444444444,0.875,True
46,48,Revaluation,0.75,True,1.0,canyon,2.0,0.6111111111111112,1.0,False
47,48,Control,0.25,False,1.0,ocean,1.0,0.6111111111111112,1.0,False
