,level_0,index,subject_id,task_part,timeout,stimulus,environment,score,isCatch,correct,block_condition,block_order,rewardMap,trial_num,age,gender,rest,subject_condition,rt0,rt1,response0,response1,is_optimal_first,is_optimal_second,optimal_score,categorical_age,trial_bin,is_optimal
1,1,134,3,value training,False,./assets/img/ocean/memory/20.jpg,ocean,10.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",1,,,False,8,532.9000000003725,603.1000000005588,ArrowUp,ArrowRight,True,False,26.0,,0,False
2,2,136,3,value training,False,./assets/img/ocean/memory/13.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",2,,,False,8,467.0,282.20000000018626,ArrowUp,ArrowLeft,True,True,26.0,,0,True
3,3,138,3,value training,False,./assets/img/ocean/memory/20.jpg,ocean,5.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",3,,,False,8,686.5,408.6000000005588,ArrowDown,ArrowLeft,False,False,26.0,,0,False
4,4,140,3,value training,False,./assets/img/ocean/memory/41.jpg,ocean,17.0,False,False,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",4,,,False,8,653.0999999996275,285.59999999962747,ArrowDown,ArrowRight,False,True,26.0,,0,False
5,5,142,3,value training,False,./assets/img/ocean/memory/23.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",5,,,False,8,521.0,208.09999999962747,ArrowUp,ArrowLeft,True,True,26.0,,0,True
6,6,144,3,value training,False,./assets/img/ocean/memory/35.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",6,,,False,8,576.3000000007451,271.69999999925494,ArrowUp,ArrowLeft,True,True,26.0,,5,True
7,7,146,3,value training,False,./assets/img/ocean/memory/21.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",7,,,False,8,390.70000000018626,230.30000000074506,ArrowUp,ArrowLeft,True,True,26.0,,5,True
8,8,148,3,value training,False,./assets/img/ocean/memory/31.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",8,,,False,8,551.1000000005588,253.29999999981374,ArrowUp,ArrowLeft,True,True,26.0,,5,True
9,9,150,3,value training,False,./assets/img/ocean/memory/26.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",9,,,False,8,485.59999999962747,292.20000000018626,ArrowUp,ArrowLeft,True,True,26.0,,5,True
10,10,152,3,value training,False,./assets/img/ocean/memory/16.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",10,,,False,8,468.09999999962747,226.6000000005588,ArrowUp,ArrowLeft,True,True,26.0,,5,True
11,11,154,3,value training,False,./assets/img/ocean/memory/35.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",11,,,False,8,652.0,227.0,ArrowUp,ArrowLeft,True,True,26.0,,10,True
12,12,156,3,value training,False,./assets/img/ocean/memory/33.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",12,,,False,8,410.5,177.79999999981374,ArrowUp,ArrowLeft,True,True,26.0,,10,True
13,13,158,3,value training,False,./assets/img/ocean/memory/8.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",13,,,False,8,408.59999999962747,271.69999999925494,ArrowUp,ArrowLeft,True,True,26.0,,10,True
14,14,160,3,value training,False,./assets/img/ocean/memory/8.jpg,ocean,26.0,False,True,revaluation,1.0,"{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}",14,,,False,8,415.20000000018626,255.09999999962747,ArrowUp,ArrowLeft,True,True,26.0,,10,True
