,subject_id,age,trial_num,block_condition,block_order,stage,optimal
0,3,,1,revaluation,1.0,First,True
1,3,,2,revaluation,1.0,First,True
2,3,,3,revaluation,1.0,First,False
3,3,,4,revaluation,1.0,First,False
4,3,,5,revaluation,1.0,First,True
5,3,,6,revaluation,1.0,First,True
6,3,,7,revaluation,1.0,First,True
7,3,,8,revaluation,1.0,First,True
8,3,,9,revaluation,1.0,First,True
9,3,,10,revaluation,1.0,First,True
10,3,,11,revaluation,1.0,First,True
11,3,,12,revaluation,1.0,First,True
12,3,,13,revaluation,1.0,First,True
13,3,,14,revaluation,1.0,First,True
14,3,,15,revaluation,1.0,First,True
15,3,,16,revaluation,1.0,First,True
16,3,,17,revaluation,1.0,First,True
17,3,,18,revaluation,1.0,First,True
18,3,,19,revaluation,1.0,First,True
19,3,,20,revaluation,1.0,First,True
20,3,,21,revaluation,1.0,First,True
21,3,,22,revaluation,1.0,First,True
22,3,,23,revaluation,1.0,First,True
23,3,,24,revaluation,1.0,First,True
24,3,,25,revaluation,1.0,First,True
25,3,,26,revaluation,1.0,First,True
26,3,,27,revaluation,1.0,First,True
27,3,,28,revaluation,1.0,First,True
28,3,,29,revaluation,1.0,First,True
29,3,,30,revaluation,1.0,First,True
30,3,,31,revaluation,1.0,First,True
31,3,,32,revaluation,1.0,First,True
32,3,,33,revaluation,1.0,First,True
33,3,,34,revaluation,1.0,First,True
34,3,,35,revaluation,1.0,First,True
35,3,,36,revaluation,1.0,First,True
36,3,,37,revaluation,1.0,First,True
37,3,,38,revaluation,1.0,First,True
38,3,,39,revaluation,1.0,First,True
39,3,,40,revaluation,1.0,First,True
40,3,,41,revaluation,1.0,First,True
41,3,,42,revaluation,1.0,First,True
42,3,,1,original,2.0,First,False
43,3,,2,original,2.0,First,False
44,3,,3,original,2.0,First,True
45,3,,4,original,2.0,First,True
46,3,,5,original,2.0,First,True
47,3,,6,original,2.0,First,True
48,3,,7,original,2.0,First,True
49,3,,8,original,2.0,First,True
50,3,,9,original,2.0,First,True
51,3,,10,original,2.0,First,True
52,3,,11,original,2.0,First,True
53,3,,12,original,2.0,First,True
54,3,,13,original,2.0,First,True
55,3,,14,original,2.0,First,True
56,3,,15,original,2.0,First,True
57,3,,16,original,2.0,First,True
58,3,,17,original,2.0,First,True
59,3,,18,original,2.0,First,True
60,3,,19,original,2.0,First,True
61,3,,20,original,2.0,First,True
62,3,,21,original,2.0,First,True
63,3,,22,original,2.0,First,True
64,3,,23,original,2.0,First,True
65,3,,24,original,2.0,First,True
66,3,,25,original,2.0,First,True
67,3,,26,original,2.0,First,True
68,3,,27,original,2.0,First,True
69,3,,28,original,2.0,First,True
70,3,,29,original,2.0,First,True
71,3,,30,original,2.0,First,True
72,3,,31,original,2.0,First,True
73,3,,32,original,2.0,First,True
74,3,,33,original,2.0,First,True
75,3,,34,original,2.0,First,True
76,3,,35,original,2.0,First,True
77,3,,36,original,2.0,First,True
78,3,,37,original,2.0,First,True
79,3,,38,original,2.0,First,True
80,3,,39,original,2.0,First,True
81,3,,40,original,2.0,First,True
82,3,,41,original,2.0,First,True
83,3,,42,original,2.0,First,True
84,5,,1,revaluation,1.0,First,True
85,5,,2,revaluation,1.0,First,True
86,5,,3,revaluation,1.0,First,False
87,5,,4,revaluation,1.0,First,False
88,5,,5,revaluation,1.0,First,True
89,5,,6,revaluation,1.0,First,True
90,5,,7,revaluation,1.0,First,True
91,5,,8,revaluation,1.0,First,True
