Subject ID,Age
13767,18.59
13786,-
13787,-
13788,-
13789,8.15
13790,8.35
13791,8.06
13792,-
13793,8.82
13794,-
13795,-
13796,8.03
13797,-
13798,-
13799,8.21
13800,8.72
13801,8.84
13802,-
13803,-
13804,-
13805,-
13806,9.15
13807,-
13808,9.63
13809,9.34
13810,-
13811,-
13812,9.68
13814,-
13815,-
13816,9.21
13817,9.11
13818,-
13819,-
13820,-
13821,-
13822,-
13823,10.84
13824,-
13825,-
13826,-
13827,-
13828,-
13829,-
13830,-
13831,10.09
13832,10.86
13834,-
13835,-
13836,11.42
13837,-
13838,-
13840,11.2
13841,11.99
13842,-
13843,-
13844,11.52
13845,11.62
13846,11.78
13847,11.94
13849,11.34
13850,-
13851,-
13852,-
13853,12.26
13854,-
13855,12.4
13856,-
13857,-
13858,-
13859,-
13860,-
13861,-
13862,-
13864,12.33
13865,12.45
13866,-
13867,-
13868,-
13869,-
13870,-
13872,13.94
13874,13.35
13875,-
13876,-
13877,13.41
13878,13.88
13880,-
13881,-
13882,-
13883,-
13884,-
13885,-
13886,-
13887,-
13888,14.52
13889,14.18
13890,14.84
13891,-
13892,-
13893,-
13894,-
13895,-
13896,-
13897,14.17
13898,-
13899,-
13900,-
13901,-
13902,-
13903,-
13904,-
13905,-
13906,15.23
13907,-
13908,-
13909,-
13910,-
13911,15.69
13912,-
13913,-
13914,15.87
13915,-
13916,-
13917,-
13918,-
13919,-
13920,-
13921,-
13923,-
13924,-
13925,-
13926,-
13927,-
13928,-
13929,-
13930,-
13931,-
13932,-
13933,-
13934,-
13935,-
13936,17.44
13937,-
13938,-
13939,-
13940,-
13941,-
13942,-
13943,-
13944,-
13945,-
13946,-
13947,-
13948,-
13949,17.38
13950,-
13951,18.63
13952,-
13953,-
13954,18.5
13955,-
13956,18.92
13957,18.6
13959,-
13960,-
13961,-
13962,-
13963,18.98
13964,-
13965,18.31
13966,18.39
13967,-
13968,-
13969,-
13970,-
13971,19.84
13972,-
13973,-
13974,-
13975,19.4
13976,-
13977,19.65
13978,19.47
13979,-
13980,19.47
13981,-
13982,19.26
13983,-
13984,-
13985,-
13986,-
13987,-
13988,-
13989,-
13990,-
13991,-
13992,-
13993,-
13994,-
13995,20.82
13996,20.21
13997,-
13998,-
13999,21.7
14000,-
14001,-
14002,-
14003,-
14005,-
14006,21.96
14007,-
14008,-
