"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","browser_interaction","low_quality","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","3","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""B"",""D"",""C"",""A""],""boats_demo"":[""H"",""F"",""E"",""G""],""islands"":[""B"",""A""],""subject_id"":""13806"",""age"":""9"",""gender"":""Male""}","[{""event"":""blur"",""trial"":2,""time"":307},{""event"":""focus"",""trial"":2,""time"":1001}]","false","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","1004","0.0-2.0","","","[{""event"":""blur"",""trial"":2,""time"":307},{""event"":""focus"",""trial"":2,""time"":1001},{""event"":""fullscreenenter"",""trial"":3,""time"":2859}]","false","true","false","[]","[]","[]","","","","","","","","","","","","","","","","",""
"fullscreen","3","3863","0.0-3.0","","","","","true","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","6008","0.0-4.0-0.0","","","","","","","","","","2138.6666666666665","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","18538","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","21077","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","51975","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","69134","0.0-5.0-0.0-1.0-0.0","","","","","","false","","","","","","","","16015.90000000596","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","72015","0.0-5.0-0.0-1.0-1.0","","","","","","false","","","","","","","","1760.5","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","74546","0.0-5.0-0.0-1.0-2.0","","","","","","false","","","","","","","","1399.5","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","121955","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","128729","0.0-5.0-0.0-3.0-0.0","","","","","","false","","","","","","","","null","","2357.8999999910593","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","132045","0.0-5.0-0.0-3.0-1.0","","","","","","false","","","","","","","","null","","1061.0999999940395","","3","1","null","null","arrowright","[1,1,1,1]","","",""
