"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","7","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""C"",""A"",""B"",""D""],""boats_demo"":[""H"",""E"",""F"",""G""],""islands"":[""B"",""A""],""subject_id"":""14459"",""age"":""16"",""gender"":""Female""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","1237","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":2640}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","3630","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","5772","0.0-4.0-0.0","","","","","","","","","","1952","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","11451","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","51785","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","91713","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","97011","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","4178.400000000023","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","99428","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1307.9000000000233","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","102362","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","1817.600000000035","","null","","null","null","arrowright","1","null","null","","",""
"sailing-instructions","11","147063","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","154006","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","2990.5","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","158690","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","1535.7000000000116","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","162975","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","1372.5","","3","0","null","null","arrowright","[0,0,0,0]","","",""
"sailing-instructions","15","170499","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","194898","0.0-5.0-0.0-5.0","","","","","","","","","","22246","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","256991","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","274367","0.0-6.0-0.0-1.0","","","","","","","","","","16124.900000000023","","","","","","","","","","","","","","[""true"",""false"",""true""]","0",""
"sailing-instructions","19","288797","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","20","294516","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","2699.6999999999534","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","21","300601","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","3448.79999999993","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","22","302888","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","946.7999999999302","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","305651","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","881.2000000000698","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","24","314666","0.0-7.0-0.0-2.0","","","","","","","","","","6385.400000000023","","","","","","","","","","","","","","[""false""]","0",""
"sailing-instructions","25","325469","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","26","330848","0.0-8.0-0.0-1.0","","","","","","","","","","4637.5","","","","","","","","","","","","","","[""true""]","0",""
"sailing-instructions","27","352950","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","28","361228","0.0-9.0-0.0-1.0-0.0","","","","false","","","","","","","","","","1358.0999999999767","","1276.4000000000233","","3","1","arrowright","1","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","29","366526","0.0-9.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1167.8999999999069","","174.30000000004657","","3","0","arrowright","1","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","30","370141","0.0-9.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","1539.5999999999767","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","31","375698","0.0-9.0-0.0-1.0-3.0","","","","false","","","","","","","","","","1048","","185.59999999997672","","1","1","arrowleft","0","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","32","379265","0.0-9.0-0.0-1.0-4.0","","","","false","","","","","","","","","","null","","1231.5999999999767","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
