,browser_interactions,missed_trials,avg_rt,comp_retries,categorical_age,excluded
13832,2,0,727.1474440901425,1.0,Children,False
15168,2,0,696.6849999999987,2.0,Adults,False
13971,2,0,788.5756410259562,4.0,Adults,True
13889,3,1,933.8898058252041,1.0,Adolescents,False
14770,1,0,180.03557692336827,1.0,Adults,False
13911,1,0,745.9326923076947,1.0,Adolescents,False
14935,1,0,882.0051612900389,0.0,Adolescents,False
14534,1,0,668.086217948164,1.0,Children,False
13793,19,4,1628.76962843299,0.0,Children,False
13999,1,0,589.6315705128267,1.0,Adults,False
14940,1,0,561.3170967717325,0.0,Adolescents,False
13906,1,0,743.1280645177249,0.0,Adolescents,False
14931,1,10,1135.6377049180405,1.0,Children,False
15163,1,0,471.2187096774578,0.0,Adults,False
14542,4,3,437.6282258064516,0.0,Adolescents,False
14934,1,0,1022.3896166119522,1.0,Children,False
14071,1,0,812.2167741935418,0.0,Adolescents,False
14961,1,1,1218.3846278318888,0.0,Adolescents,False
13845,1,0,995.7567092653233,1.0,Children,False
14365,1,0,1354.1955271562733,1.0,Children,False
14527,1,2,1354.2253588516699,5.0,Children,True
13865,1,0,708.7503225815873,0.0,Children,False
15192,1,0,645.8160256410289,1.0,Adolescents,False
14006,1,0,775.1549520766773,1.0,Adults,False
14050,1,0,456.70929487180325,1.0,Adolescents,False
13855,1,0,527.8615015939401,1.0,Children,False
14367,1,0,764.8652380951104,4.0,Children,True
15194,1,0,443.51266025646754,1.0,Adults,False
15423,1,0,513.3940322567379,0.0,Adolescents,False
14586,1,1,913.6841017488063,2.0,Children,False
13954,1,0,220.10512820526193,1.0,Adults,False
14771,1,1,977.8406995241138,2.0,Adults,False
14946,1,1,410.96925567268937,0.0,Adults,False
13836,3,6,907.1006389776358,3.0,Children,False
15116,2,0,815.0416129010339,0.0,Adolescents,False
14780,1,0,543.8359424924126,1.0,Adults,False
14372,1,0,591.081129184846,0.0,Adolescents,False
14748,1,0,732.49663461783,1.0,Adolescents,False
14941,2,0,373.6195512813253,4.0,Adolescents,True
13949,1,0,706.6443910273986,1.0,Adolescents,False
14459,1,0,684.9801612903196,0.0,Adolescents,False
14723,3,4,1580.8502423263276,1.0,Children,False
14371,1,2,1219.5598705501552,0.0,Adolescents,False
15183,2,0,532.4611290309698,0.0,Children,False
