Subject ID,Age
13790,8.35
13793,8.82
13796,8.03
13799,8.21
13800,8.72
13801,8.84
13806,9.15
13808,9.63
13809,9.34
13812,9.68
13816,9.21
13831,10.09
13832,10.86
13836,11.42
13840,11.2
13841,11.99
13844,11.52
13845,11.62
13846,11.78
13849,11.34
13853,12.26
13855,12.4
13864,12.33
13865,12.45
13872,13.94
13874,13.35
13877,13.41
13878,13.88
13888,14.52
13889,14.18
13890,14.84
13897,14.17
13906,15.23
13911,15.69
13914,15.87
13949,17.38
13951,18.63
13954,18.5
13956,18.92
13957,18.6
13963,18.98
13975,19.4
13977,19.65
13980,19.47
13982,19.26
13995,20.82
13999,21.7
14006,21.96
14021,22.21
14036,13.51
14038,12.89
14043,13.58
14048,14.5
14050,13.03
14051,9.96
14052,16.15
14053,14.14
14056,11.99
14071,13.62
14226,19.02
14365,8.02
14371,17.59
14372,17.92
14381,21.73
14384,22.18
14387,8.03
14459,16.04
14522,8.87
14529,10.32
14530,10.62
14533,10.23
14534,10.61
14535,10.02
14536,10.06
14537,10.66
14541,15.94
14542,15.51
14547,16.41
14551,17.5
14552,17.79
14568,20.96
14569,20.34
14570,20.2
14574,21.82
14583,22.34
14584,12.77
14586,9.5
14591,16.69
14594,12.69
14595,13.31
14715,21.01
14722,9.7
14723,9.33
14724,9.27
14728,15.29
14729,15.25
14733,16.04
14734,16.38
14735,16.99
14748,17.2
14749,18.45
14754,19.6
14755,19.18
14759,20.07
14761,20.92
14762,20.18
14769,21.28
14770,21.11
14771,21.4
14776,22.45
14778,22.37
14780,22.69
14781,22.3
14782,22.66
14783,22.36
14786,11.26
14788,13.69
14789,14.16
14931,11.03
14933,12.32
14934,12.97
14935,14.42
14940,16.66
14945,17.09
14946,18.43
14948,19.27
14955,21.35
14958,22.06
14960,22.4
14961,14.9
14962,11.86
14964,14.87
15076,8.07
15081,18.15
15092,20.5
15115,16.78
15116,16.53
15163,21.37
15168,19.38
15170,19.55
15183,10.49
15192,17.55
15194,21.52
15195,21.02
15198,19.23
15209,14.25
15365,14.23
15372,14.15
15423,13.15
15425,13.14
15429,21.33
15468,17.74
