"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","8","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""A"",""B"",""C"",""D""],""boats_demo"":[""E"",""G"",""F"",""H""],""islands"":[""B"",""A""],""subject_id"":""14534"",""age"":""10"",""gender"":""Male""}","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","3164","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":4457}]","false","","","","","","","","","","","","","","","","",""
"fullscreen","3","5390","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","18955","0.0-4.0-0.0","","","","","","","","","","13429.333333333334","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","21164","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","23308","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","55012","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","61832","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","5692.100000023842","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","64582","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1603.199999988079","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","67563","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","1825.9000000357628","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-instructions","11","109501","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","116968","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","3217.600000023842","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","121641","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","1380.8999999761581","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","126340","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","1285.9000000357628","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","15","133798","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","154950","0.0-5.0-0.0-5.0","","","","","","","","","","17196.100000023842","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","215228","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","231476","0.0-6.0-0.0-1.0","","","","","","","","","","13833.899999976158","","","","","","","","","","","","","","[""true"",""false"",""true""]","0",""
"sailing-instructions","19","245388","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","20","253010","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","4597.399999976158","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","21","259273","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","3330.400000035763","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","22","263772","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","1612","","2","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","267922","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","1607.300000011921","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","24","282634","0.0-7.0-0.0-2.0","","","","","","","","","","5500.600000023842","","","","","","","","","","","","","","[""true""]","1",""
"sailing-instructions","25","296396","0.0-7.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","26","300835","0.0-7.0-0.1-1.1-0.1","","","","false","","","","","","","","","","null","","1625.199999988079","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","27","303618","0.0-7.0-0.1-1.1-1.1","","","","false","","","","","","","","","","null","","1084.199999988079","","1","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","28","307002","0.0-7.0-0.1-1.1-2.1","","","","false","","","","","","","","","","null","","1387.0999999642372","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","29","310134","0.0-7.0-0.1-1.1-3.1","","","","false","","","","","","","","","","null","","1066.4000000357628","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","30","314923","0.0-7.0-0.1-2.1","","","","","","","","","","3122.699999988079","","","","","","","","","","","","","","[""false""]","0",""
"sailing-instructions","31","325524","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","32","330272","0.0-8.0-0.0-1.0","","","","","","","","","","3146.600000023842","","","","","","","","","","","","","","[""true""]","0",""
"sailing-instructions","33","352358","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","34","358982","0.0-9.0-0.0-1.0-0.0","","","","false","","","","","","","","","","1783.6000000238419","","922.3999999761581","","0","1","arrowleft","0","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","35","367333","0.0-9.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1953.199999988079","","2237.399999976158","","2","0","arrowright","1","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","36","371709","0.0-9.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","2018.699999988079","","0","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","37","378292","0.0-9.0-0.0-1.0-3.0","","","","false","","","","","","","","","","1871.699999988079","","1173.800000011921","","0","1","arrowleft","0","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","38","381946","0.0-9.0-0.0-1.0-4.0","","","","false","","","","","","","","","","null","","1561.5999999642372","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","39","387396","0.0-9.0-0.0-1.0-5.0","","","","false","","","","","","","","","","1638.199999988079","","578.6999999880791","","3","0","arrowright","1","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-instructions","40","412058","0.0-10.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","41","417204","0.0-11.0-0.0","","","","false","","","","","","","","","","1441.300000011921","","443","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","42","420904","0.0-11.0-1.0","","","","false","","","","","","","","","","null","","2125.100000023842","","0","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","43","426256","0.0-11.0-2.0","","","","false","","","","","","","","","","1490.3999999761581","","626.3000000119209","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","44","429718","0.0-11.0-3.0","","","","false","","","","","","","","","","null","","1533.6000000238419","","1","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","45","434551","0.0-11.0-4.0","","","","false","","","","","","","","","","1273","","593.8999999761581","","1","1","arrowleft","0","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","46","437418","0.0-11.0-5.0","","","","false","","","","","","","","","","null","","996.0999999642372","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","47","441719","0.0-11.0-6.0","","","","false","","","","","","","","","","1023.3000000119209","","540.5","","3","0","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","48","445103","0.0-11.0-7.0","","","","false","","","","","","","","","","null","","1490.300000011921","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","49","449620","0.0-11.0-8.0","","","","false","","","","","","","","","","839","","546.5","","1","1","arrowleft","0","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","50","452254","0.0-11.0-9.0","","","","false","","","","","","","","","","null","","1256.2999999523163","","2","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","51","456869","0.0-11.0-10.0","","","","false","","","","","","","","","","1179.199999988079","","629.6000000238419","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","52","459180","0.0-11.0-11.0","","","","false","","","","","","","","","","null","","876.8999999761581","","0","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","53","463274","0.0-11.0-12.0","","","","false","","","","","","","","","","822","","452.80000001192093","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","54","466020","0.0-11.0-13.0","","","","false","","","","","","","","","","null","","1381.5999999642372","","0","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","55","470367","0.0-11.0-14.0","","","","false","","","","","","","","","","1107.5","","188.5","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","56","472867","0.0-11.0-15.0","","","","false","","","","","","","","","","null","","654.5","","1","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","57","478417","0.0-11.0-16.0","","","","false","","","","","","","","","","1175","","2053","","0","0","arrowleft","0","arrowleft","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","58","480778","0.0-11.0-17.0","","","","false","","","","","","","","","","null","","1071.800000011921","","0","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","59","484112","0.0-11.0-18.0","","","","false","","","","","","","","","","1026.699999988079","","32.89999997615814","","3","0","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","60","486933","0.0-11.0-19.0","","","","false","","","","","","","","","","null","","1079","","1","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","61","490964","0.0-11.0-20.0","","","","false","","","","","","","","","","877.3000000119209","","310.39999997615814","","1","1","arrowleft","0","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","62","493523","0.0-11.0-21.0","","","","false","","","","","","","","","","null","","732.1999999880791","","2","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","63","497566","0.0-11.0-22.0","","","","false","","","","","","","","","","970.8999999761581","","187.89999997615814","","3","1","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","64","499897","0.0-11.0-23.0","","","","false","","","","","","","","","","null","","557.8999999761581","","1","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","65","504537","0.0-11.0-24.0","","","","false","","","","","","","","","","1074.199999988079","","1009.1999999880791","","0","0","arrowleft","0","arrowleft","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","66","507031","0.0-11.0-25.0","","","","false","","","","","","","","","","null","","729.1999999880791","","1","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","67","510246","0.0-11.0-26.0","","","","false","","","","","","","","","","531.6999999880791","","0.800000011920929","","3","1","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","68","512364","0.0-11.0-27.0","","","","false","","","","","","","","","","null","","447.5","","0","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","69","515945","0.0-11.0-28.0","","","","false","","","","","","","","","","593.8999999761581","","303.10000002384186","","1","1","arrowleft","0","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","70","517921","0.0-11.0-29.0","","","","false","","","","","","","","","","null","","775.4000000357628","","2","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","71","521194","0.0-11.0-30.0","","","","false","","","","","","","","","","764.1000000238419","","5.600000023841858","","3","0","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","72","523272","0.0-11.0-31.0","","","","false","","","","","","","","","","null","","763.8000000119209","","0","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","73","527539","0.0-11.0-32.0","","","","false","","","","","","","","","","1044.4000000357628","","872.9000000357628","","0","0","arrowleft","0","arrowleft","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","74","529484","0.0-11.0-33.0","","","","false","","","","","","","","","","null","","681.0999999642372","","0","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","75","532903","0.0-11.0-34.0","","","","false","","","","","","","","","","891.5","","174.9000000357628","","3","0","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","76","535207","0.0-11.0-35.0","","","","false","","","","","","","","","","null","","1020.5","","2","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","77","538687","0.0-11.0-36.0","","","","false","","","","","","","","","","952.3000000119209","","318.19999998807907","","1","0","arrowleft","0","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","78","540940","0.0-11.0-37.0","","","","false","","","","","","","","","","null","","985.6999999880791","","2","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","79","546391","0.0-11.0-38.0","","","","false","","","","","","","","","","821","","1613.7999999523163","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","80","548842","0.0-11.0-39.0","","","","false","","","","","","","","","","null","","651.3000000119209","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","81","552034","0.0-11.0-40.0","","","","false","","","","","","","","","","592","","253.19999998807907","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","82","554477","0.0-11.0-41.0","","","","false","","","","","","","","","","null","","584","","3","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","83","559107","0.0-11.0-42.0","","","","false","","","","","","","","","","980.5","","240.0999999642372","","2","0","arrowright","1","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","84","561829","0.0-11.0-43.0","","","","false","","","","","","","","","","null","","718.6000000238419","","3","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","85","565091","0.0-11.0-44.0","","","","false","","","","","","","","","","729","","75.19999998807907","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","86","567018","0.0-11.0-45.0","","","","false","","","","","","","","","","null","","642","","1","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","87","571236","0.0-11.0-46.0","","","","false","","","","","","","","","","607.6000000238419","","753.8999999761581","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","88","572825","0.0-11.0-47.0","","","","false","","","","","","","","","","null","","188.9000000357628","","2","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","89","577803","0.0-11.0-48.0","","","","false","","","","","","","","","","813.8000000119209","","1378.199999988079","","1","1","arrowleft","0","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","90","580036","0.0-11.0-49.0","","","","false","","","","","","","","","","null","","570.8000000119209","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","91","584181","0.0-11.0-50.0","","","","false","","","","","","","","","","570.3999999761581","","1259.0999999642372","","3","0","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","92","586551","0.0-11.0-51.0","","","","false","","","","","","","","","","null","","635.7000000476837","","3","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","93","589822","0.0-11.0-52.0","","","","false","","","","","","","","","","789.3000000119209","","177.30000001192093","","0","0","arrowleft","0","arrowleft","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","94","592185","0.0-11.0-53.0","","","","false","","","","","","","","","","null","","598.6999999880791","","3","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","95","596718","0.0-11.0-54.0","","","","false","","","","","","","","","","654.5999999642372","","1131.699999988079","","3","1","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","96","598868","0.0-11.0-55.0","","","","false","","","","","","","","","","null","","566.6000000238419","","3","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","97","602642","0.0-11.0-56.0","","","","false","","","","","","","","","","595.1000000238419","","861.3999999761581","","0","0","arrowleft","0","arrowleft","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","98","605032","0.0-11.0-57.0","","","","false","","","","","","","","","","null","","680.8999999761581","","0","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","99","609267","0.0-11.0-58.0","","","","false","","","","","","","","","","643.8000000119209","","384.0999999642372","","3","1","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","100","611999","0.0-11.0-59.0","","","","false","","","","","","","","","","null","","542.6999999880791","","3","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","101","616531","0.0-11.0-60.0","","","","false","","","","","","","","","","820.5","","906.0999999642372","","1","1","arrowleft","0","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","102","618781","0.0-11.0-61.0","","","","false","","","","","","","","","","null","","726","","2","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","103","623015","0.0-11.0-62.0","","","","false","","","","","","","","","","699.4000000357628","","686.5999999642372","","3","1","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","104","624843","0.0-11.0-63.0","","","","false","","","","","","","","","","null","","670.2999999523163","","0","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","105","628886","0.0-11.0-64.0","","","","false","","","","","","","","","","989","","77.30000001192093","","1","1","arrowleft","0","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","106","630596","0.0-11.0-65.0","","","","false","","","","","","","","","","null","","495.7999999523163","","0","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","107","633742","0.0-11.0-66.0","","","","false","","","","","","","","","","702.8999999761581","","41.30000001192093","","3","0","arrowright","1","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","108","636261","0.0-11.0-67.0","","","","false","","","","","","","","","","null","","699.9000000357628","","1","1","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","109","640929","0.0-11.0-68.0","","","","false","","","","","","","","","","651.5999999642372","","1239.3999999761581","","1","1","arrowleft","0","arrowright","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","110","642807","0.0-11.0-69.0","","","","false","","","","","","","","","","null","","144.4000000357628","","2","0","null","null","arrowup","[0.15,0.85,0.325,0.675]","","",""
"sailing-trial","111","646064","0.0-11.0-70.0","","","","false","","","","","","","","","","564.5","","410.10000002384186","","3","0","arrowright","1","arrowright","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","112","649663","0.0-11.0-71.0","","","","false","","","","","","","","","","null","","559.1999999880791","","0","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","113","653027","0.0-11.0-72.0","","","","false","","","","","","","","","","559.6999999880791","","94.69999998807907","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","114","655296","0.0-11.0-73.0","","","","false","","","","","","","","","","null","","610.5","","1","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","115","659194","0.0-11.0-74.0","","","","false","","","","","","","","","","453.7999999523163","","637.5","","3","1","arrowright","1","arrowright","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","116","660807","0.0-11.0-75.0","","","","false","","","","","","","","","","null","","535.5999999642372","","0","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","117","664494","0.0-11.0-76.0","","","","false","","","","","","","","","","633.5","","484.69999998807907","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","118","666960","0.0-11.0-77.0","","","","false","","","","","","","","","","null","","926","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","119","670249","0.0-11.0-78.0","","","","false","","","","","","","","","","461.5","","508.19999998807907","","3","0","arrowright","1","arrowright","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","120","673558","0.0-11.0-79.0","","","","false","","","","","","","","","","null","","771.9000000357628","","1","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","121","677676","0.0-11.0-80.0","","","","false","","","","","","","","","","422.89999997615814","","318.69999998807907","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","122","680542","0.0-11.0-81.0","","","","false","","","","","","","","","","null","","556.5","","0","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","123","685077","0.0-11.0-82.0","","","","false","","","","","","","","","","529","","1549.699999988079","","3","0","arrowright","1","arrowright","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","124","687212","0.0-11.0-83.0","","","","false","","","","","","","","","","null","","835","","3","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","125","690085","0.0-11.0-84.0","","","","false","","","","","","","","","","672.3000000119209","","79","","1","0","arrowleft","0","arrowright","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","126","692908","0.0-11.0-85.0","","","","false","","","","","","","","","","null","","955.1000000238419","","1","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","127","696623","0.0-11.0-86.0","","","","false","","","","","","","","","","536.5","","485.80000001192093","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","128","700122","0.0-11.0-87.0","","","","false","","","","","","","","","","null","","517.6000000238419","","0","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","129","703888","0.0-11.0-88.0","","","","false","","","","","","","","","","622.0999999642372","","496","","1","1","arrowleft","0","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","130","706789","0.0-11.0-89.0","","","","false","","","","","","","","","","null","","835.3999999761581","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","131","710355","0.0-11.0-90.0","","","","false","","","","","","","","","","612.1000000238419","","111.69999998807907","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","132","712522","0.0-11.0-91.0","","","","false","","","","","","","","","","null","","535","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","133","715185","0.0-11.0-92.0","","","","false","","","","","","","","","","493.69999998807907","","41","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","134","718018","0.0-11.0-93.0","","","","false","","","","","","","","","","null","","725","","1","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","135","721169","0.0-11.0-94.0","","","","false","","","","","","","","","","528.8000000119209","","215.80000001192093","","2","0","arrowright","1","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","136","723769","0.0-11.0-95.0","","","","false","","","","","","","","","","null","","595.2000000476837","","1","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","137","727884","0.0-11.0-96.0","","","","false","","","","","","","","","","743.5","","537.8000000119209","","1","1","arrowleft","0","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","138","729802","0.0-11.0-97.0","","","","false","","","","","","","","","","null","","582.0999999642372","","1","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","139","734418","0.0-11.0-98.0","","","","false","","","","","","","","","","1204.8999999761581","","660.3000000119209","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","140","736252","0.0-11.0-99.0","","","","false","","","","","","","","","","null","","100.20000004768372","","2","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","141","739941","0.0-11.0-100.0","","","","false","","","","","","","","","","589.1999999880791","","781.3000000119209","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","142","742484","0.0-11.0-101.0","","","","false","","","","","","","","","","null","","824.1999999880791","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","143","747532","0.0-11.0-102.0","","","","false","","","","","","","","","","660.6000000238419","","531.5","","3","0","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","144","749182","0.0-11.0-103.0","","","","false","","","","","","","","","","null","","528","","2","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","145","752603","0.0-11.0-104.0","","","","false","","","","","","","","","","814.0999999642372","","422.5","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","146","754552","0.0-11.0-105.0","","","","false","","","","","","","","","","null","","679.6999999880791","","0","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
