"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors"
"pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","6","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""B"",""D"",""C"",""A""],""boats_demo"":[""H"",""G"",""E"",""F""],""islands"":[""A"",""B""],""subject_id"":""14764"",""age"":""20"",""gender"":""Female""}","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","3400","0.0-2.0","","","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":3,""time"":13694}]","false","","","","","","","","","","","","","","","",""
"fullscreen","3","14651","0.0-3.0","","","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","16441","0.0-4.0-0.0","","","","","","","","","","709.3333333333334","audio/beep_loop.wav"," ","","","","","","","","","","","","",""
"audio-test","5","18815","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","",""
"audio-test","6","21660","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","",""
"sailing-instructions","7","75578","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-trial","8","92310","0.0-5.0-0.0-1.0-0.0","","","","false","","","","","","","","","","15319.799999952316","","null","","null","null","arrowleft","0","null","null","",""
"sailing-trial","9","94741","0.0-5.0-0.0-1.0-1.0","","","","false","","","","","","","","","","1293.6000000238419","","null","","null","null","arrowright","1","null","null","",""
"sailing-trial","10","101576","0.0-5.0-0.0-1.0-2.0","","","","false","","","","","","","","","","5326","","null","","null","null","arrowleft","0","null","null","",""
"sailing-instructions","11","162793","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","",""
"sailing-trial","12","169348","0.0-5.0-0.0-3.0-0.0","","","","false","","","","","","","","","","null","","1537.2999999523163","","2","1","null","null","arrowleft","[1,1,1,1]","",""
"sailing-trial","13","174159","0.0-5.0-0.0-3.0-1.0","","","","false","","","","","","","","","","null","","1276.5","","3","1","null","null","arrowright","[1,1,1,1]","",""
"sailing-trial","14","192062","0.0-5.0-0.0-3.0-2.0","","","","false","","","","","","","","","","null","","13204.700000047684","","2","0","null","null","arrowleft","[0,0,0,0]","",""
"sailing-instructions","15","217227","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-comprehension","16","248432","0.0-5.0-0.0-5.0","","","","","","","","","","10742.299999952316","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0"
"sailing-instructions","17","453644","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-comprehension","18","484875","0.0-6.0-0.0-1.0","","","","","","","","","","30035.5","","","","","","","","","","","","","","[""true"",""false"",""true""]","0"
"sailing-instructions","19","654239","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-trial","20","661076","0.0-7.0-0.0-1.0-0.0","","","","false","","","","","","","","","","null","","4581.599999904633","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","21","669081","0.0-7.0-0.0-1.0-1.0","","","","false","","","","","","","","","","null","","4565.700000047684","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","22","673725","0.0-7.0-0.0-1.0-2.0","","","","false","","","","","","","","","","null","","1932.3000000715256","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-trial","23","699226","0.0-7.0-0.0-1.0-3.0","","","","false","","","","","","","","","","null","","9803.199999928474","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","",""
"sailing-comprehension","24","717181","0.0-7.0-0.0-2.0","","","","","","","","","","16606.600000023842","","","","","","","","","","","","","","[""false""]","0"
"sailing-instructions","25","741254","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-comprehension","26","747460","0.0-8.0-0.0-1.0","","","","","","","","","","3457.899999976158","","","","","","","","","","","","","","[""false""]","1"
"sailing-instructions","27","760422","0.0-8.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
"sailing-comprehension","28","770048","0.0-8.0-0.1-1.1","","","","","","","","","","3188.899999976158","","","","","","","","","","","","","","[""true""]","0"
"sailing-instructions","29","837349","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","",""
