,browser_interactions,missed_trials,avg_rt,comp_retries,categorical_age,excluded
14789,1,0,1240.3416666666662,1.0,Adolescents,False
14761,4,0,554.4469999999786,0.0,Adults,False
14371,1,2,891.2391304347764,0.0,Adolescents,False
15468,1,0,786.8183333333334,0.0,Adolescents,False
13949,1,0,668.9925000019869,1.0,Adolescents,False
14780,1,0,527.5881666669746,1.0,Adults,False
14056,2,2,838.8944723618097,1.0,Children,False
14459,1,0,657.6808333333303,0.0,Adolescents,False
14053,1,0,774.7266666666673,0.0,Adolescents,False
14958,1,0,639.5476666666746,1.0,Adults,False
14759,3,1,851.2010016684142,3.0,Adults,False
13808,1,9,944.7201365187651,3.0,Children,False
13951,1,0,214.35433333357176,0.0,Adults,False
14960,1,0,671.7788333331049,0.0,Adults,False
14569,1,0,411.7006666670243,1.0,Adults,False
14384,2,0,709.9148333335917,0.0,Adults,False
13849,1,0,888.9303333316246,0.0,Children,False
14782,1,0,424.85283333323895,2.0,Adults,False
14551,2,0,227.30383333334274,0.0,Adolescents,False
14522,1,1,570.7628762542416,2.0,Children,False
14748,1,0,685.477666670084,1.0,Adolescents,False
14570,1,0,606.6338333332042,3.0,Adults,False
14021,1,0,476.46833333313464,1.0,Adults,False
14530,1,0,512.1204999991259,1.0,Children,False
14733,1,0,932.2250000000004,1.0,Adolescents,False
14762,1,0,852.3000000000435,0.0,Adults,False
13809,1,0,808.2984999980529,2.0,Children,False
14724,3,2,1478.1454849507297,3.0,Children,False
14535,1,0,1055.3606666667758,1.0,Children,False
14935,1,0,861.6639999997616,0.0,Adolescents,False
14961,1,1,1149.4814381272497,0.0,Adolescents,False
13790,1,1,950.715859774158,2.0,Children,False
15429,4,0,450.015666666925,2.0,Adults,False
13846,1,0,944.8344999994835,1.0,Children,False
14521,2,7,1472.7555932129844,6.0,Children,True
13977,1,0,731.7666666666692,1.0,Adults,False
13841,1,0,699.1529999943574,1.0,Children,False
14723,3,4,1524.2690756302468,1.0,Children,False
14052,1,0,739.2670000002781,1.0,Adolescents,False
14788,1,0,1278.6001666792233,0.0,Adolescents,False
15115,2,0,907.4264999930064,0.0,Adolescents,False
13800,1,0,949.880999999841,2.0,Children,False
13874,2,2,1516.7567612687901,1.0,Adolescents,False
14778,1,0,808.5004999999671,0.0,Adults,False
15195,2,0,662.78,0.0,Adults,False
14586,1,1,884.0938230383963,2.0,Children,False
13982,5,1,997.4146666666866,0.0,Adults,False
13791,1,0,880.8630000001316,4.0,Children,True
14536,1,0,799.4600000000034,0.0,Children,False
15092,1,0,456.9729999997218,0.0,Adults,False
